Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
ADK	25.6876	27.8524	20.86	29.2423	20.86	25.6876	37.3065	47.3036	14.3714	12.1675	36.1425	6.79133	10.3314
ADM5	1.65858	1.34762	2.93839	1.89956	2.93839	1.65858	1.43587	1.26208	1.29868	1.56524	1.39985	1.6316	3.38436
ADO	20.0907	21.0076	14.3029	16.5369	14.3029	20.0907	18.5128	23.0623	9.99999	11.2716	17.9891	10.2209	10.9228
ADRA1A	1.11593	1.03355	1	1.04341	1	1.11593	1.02503	1	1.48246	1.51657	1.03265	1.63935	2.16216
AFF2	3.87723	3.87593	1.5087	1.38116	1.5087	3.87723	5.24712	5.26838	1.68125	1.26027	4.70455	1	1.14823
AGAP9	1	1	1	1	1	1	1	1	1	1	1	1	1.04843
AGBL1-AS1	1	1	1	1	1	1	1	1	1	1	1	1	1
AGBL2	1.66095	1.72947	1.35144	1.34531	1.35144	1.66095	1.13803	1.16231	2.83831	3.35256	1.24243	1	1.18684
AGBL4-IT1	1	1	1	1	1	1	1	1	1	1	1	1	1
AGFG1	23.6005	25.0129	20.5432	25.159	20.5432	23.6005	17.7589	20.1133	15.4646	23.298	17.293	19.8621	10.3945
AGO3	6.04896	6.23939	6.10084	7.07631	6.10084	6.04896	7.96353	8.25165	4.67425	4.53181	7.19099	2.13336	2.52575
AHSA1	102.227	97.5447	75.216	101.065	75.216	102.227	109.647	122.293	38.5921	43.4032	110.423	44.4668	49.553
AHSP	9.68313	7.18916	1	1	1	9.68313	1	1	6.90732	2.30138	1.19432	1	1
AJAP1	2.89412	2.87679	8.24999	7.53566	8.24999	2.89412	1.64265	1.45978	1.41929	1.30586	1.98175	1.6459	1.19423
AK5	2.33025	2.4683	1.26111	1.12499	1.26111	2.33025	1.33308	1.59283	1.43574	1.89964	2.12822	1	1.23677
AKAP10	13.5583	13.8112	12.7588	15.1546	12.7588	13.5583	13.5457	15.1708	9.68461	10.1786	12.8723	5.82442	6.0536
AKAP11	12.2967	13.4057	10.5551	13.149	10.5551	12.2967	11.2607	13.903	15.819	13.8126	12.1079	3.34644	8.04566
AKAP13	10.4884	11.0797	35.4764	39.6459	35.4764	10.4884	8.76728	9.07769	24.0406	16.6407	9.53836	24.6915	19.3245
AKAP5	3.33908	3.14009	2.15734	2.2293	2.15734	3.33908	5.04534	5.15456	6.26346	4.50298	4.39995	1.19108	1.57026
AKIRIN1	157.557	159.719	86.655	113.603	86.655	157.557	67.136	82.691	19.6794	20.291	69.9548	24.8604	24.7689
AKR1C3	3.35775	3.1281	4.87175	6.02609	4.87175	3.35775	1.2085	1.25068	1.87743	5.78865	1.29428	298.558	118.874
AKR1C4	1	1	1	1	1	1	1	1	1.04117	1	1.0594	2.2259	1.43063
ALCAM	32.0226	34.3174	12.6879	16.8783	12.6879	32.0226	22.4116	23.356	22.6612	14.6321	30.3804	10.4654	12.818
ALDH1A1	1.80751	2.05832	4.15599	3.77474	4.15599	1.80751	1.67222	1.57743	88.2857	81.1993	1.29818	298.049	89.4889
ALG13	44.4866	48.7278	31.1256	37.8937	31.1256	44.4866	18.897	21.4488	11.3586	14.3108	16.8903	23.2474	8.13878
ALKBH1	9.74226	9.78746	7.18694	10.2074	7.18694	9.74226	9.3827	11.312	5.58244	5.90779	10.1197	8.07826	5.61598
ALKBH8	11.4091	11.0365	5.44625	5.88743	5.44625	11.4091	8.49452	10.1132	4.74218	4.97097	7.38061	2.55555	4.24977
ALMS1	14.768	16.3895	12.4548	13.962	12.4548	14.768	10.9762	12.6188	6.41252	5.86147	11.041	2.13187	2.91238
ALPPL2	1.47715	1.3423	1	1	1	1.47715	1	1	1	1	1	1	1
ALS2CR12	1.06911	1.15255	1.39649	2.19302	1.39649	1.06911	1.03287	1.03162	1.30891	1.19109	1.11136	1	1.27652
ALYREF	47.3738	46.1714	44.3811	32.888	44.3811	47.3738	54.0244	42.5498	25.4576	24.7326	52.9169	36.3035	33.7936
AMBP	1.84461	1.8831	1.05101	1.12696	1.05101	1.84461	1.04229	1	6.19789	2.26523	1	1.98349	1.94994
AMIGO2	4.08447	3.71128	4.31638	6.46688	4.31638	4.08447	5.77118	5.57288	14.658	9.93818	5.81126	1.4215	8.80889
AMPD1	1	1	1	1.03553	1	1	1	1	1.01854	1.01964	1.02672	3.7494	1.14476
AMY1A	1	1	1	1	1	1	1	1	1	1	1	1	1
AMY1B	1	1	1	1	1	1	1	1	1	1	1	1	1
AMY1C	1	1	1	1	1	1	1	1	1	1	1	1	1
ANAPC11	17.6191	14.6319	22.9455	8.18131	22.9455	17.6191	18.2325	11.4308	26.7054	25.2612	19.9443	123.09	117.327
ANAPC15	58.1325	50.5024	44.6989	44.1522	44.6989	58.1325	49.0734	40.5458	17.5497	22.7386	50.332	58.1988	50.58
ANAPC16	27.3376	25.7843	21.3639	24.0474	21.3639	27.3376	47.8248	44.7505	25.444	30.1561	38.5434	72.9747	43.5098
ANAPC5	48.9569	48.9904	48.6706	44.773	48.6706	48.9569	58.5099	56.2549	42.6575	46.7157	48.2708	41.131	21.0611
ANGPTL5	1	1	1	1	1	1	1	1	1.01881	1.03986	1	1	1.14657
