Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
CTB-7E3.1	1	1	1	1	1	1	1	1	1	1	1	1	1
CTBP2	48.2802	47.1281	19.9286	20.0371	19.9286	48.2802	31.4146	33.8977	15.5411	17.8952	30.1537	35.6909	31.0486
CTBS	5.45064	4.74643	10.9103	10.4525	10.9103	5.45064	7.01048	7.19679	8.95491	12.353	6.18596	5.9826	6.50384
CTD-2201E9.1	1.03704	1	1.97747	1.58182	1.97747	1.03704	1	1	1	1.05853	1	1	1
CTDSP1	5.6073	5.00098	20.3853	11.1481	20.3853	5.6073	12.8324	7.24496	58.4832	73.63	11.6825	149.17	74.0328
CTDSPL2	27.7435	28.9405	22.1145	26.5435	22.1145	27.7435	43.8729	51.552	12.7898	12.2546	40.1327	4.60122	6.96082
CTH	21.4593	21.7737	6.73176	8.04271	6.73176	21.4593	10.8531	12.1325	3.56733	6.34776	9.97273	5.00934	12.8474
CTNNA1	158.186	155.609	130.234	130.222	130.234	158.186	127.581	122.442	97.3054	124.447	123.98	152.234	91.4998
CTSO	2.68165	2.63501	3.66454	5.11669	3.66454	2.68165	2.84748	2.50256	17.7246	19.972	2.54834	16.8715	10.4433
CTSW	1	1.05522	1.0574	1	1.0574	1	1	1.09159	1.11177	1.39572	1	1	1.5838
CUTC	30.557	28.4396	13.9553	19.6763	13.9553	30.557	20.1024	23.6241	9.35952	12.3365	20.2001	15.5445	12.2208
CUX1	10.3432	11.5426	20.0524	13.8204	20.0524	10.3432	16.8747	15.7815	29.4745	35.8599	17.9548	22.7863	16.1085
CWC15	49.4167	49.4218	42.0129	56.7099	42.0129	49.4167	62.5686	70.7379	22.4007	28.242	59.9857	47.6853	12.292
CXCL11	1	1	1	1	1	1	1	1	1	1.06181	1	1.86434	1.83481
CXCL12	15.7866	16.7034	4.76077	4.65019	4.76077	15.7866	14.1931	10.4534	57.0315	29.7787	14.7238	12.4026	35.2204
CXCR1	1	1	1	1	1	1	1	1	1.01784	1	1	1.52762	1.04632
CXCR4	2.00346	1.86138	202.486	253.571	202.486	2.00346	55.4904	89.9896	10.7211	7.57243	65.0513	10.0323	28.2518
CXorf30	1	1	1.0927	1.14421	1.0927	1	1.01922	1.03697	1.01505	1.07969	1	1	1
CXorf40B	10.0895	8.8555	8.3942	8.34838	8.3942	10.0895	6.99381	8.52724	6.80196	8.87295	7.66417	26.5536	13.4349
CXorf58	1.08154	1.09	1.09356	1	1.09356	1.08154	1.07758	1.11203	1.06074	1.06445	1.13153	1.90331	1.07915
CYB561A3	5.26173	4.81912	5.28972	2.92358	5.28972	5.26173	2.81179	2.33911	11.336	11.7627	3.15322	18.3992	37.0598
CYLC2	1	1	1	1	1	1	1	1	1	1	1	1	1
CYP1B1	2.57862	2.53514	7.63717	9.79644	7.63717	2.57862	3.22655	5.00128	1.45259	1.60061	6.20577	2.45619	16.5087
CYP24A1	1.01784	1	1	1	1	1.01784	1.43556	1.24497	1.02843	1	1.59415	1.42002	1
CYP2B6	3.05259	2.82076	1	1.02739	1	3.05259	1.12775	1.03512	5.51763	3.81526	1.12364	7.3358	3.37304
CYSLTR1	1.02198	1.02426	1.02522	1.03139	1.02522	1.02198	1	1	1.79147	1.83293	1	2.93736	2.02044
CYYR1	19.4139	20.0223	10.8989	13.6998	10.8989	19.4139	41.8405	56.6413	4.96539	3.14406	39.6003	3.92884	13.2308
DAAM2	1.93057	2.0162	1.1194	1.11306	1.1194	1.93057	2.7052	2.01505	5.91003	4.95149	2.25765	6.84228	11.0406
DAB1-AS1	1.08365	1	1	1	1	1.08365	1	1	1	1	1	1	1
DACT2	2.04397	2.11841	12.0073	5.77927	12.0073	2.04397	1.4382	1.22487	4.76739	5.26629	1.42879	1.67767	1.91686
DAOA	1	1	1	1	1	1	1	1	1	1	1	1	1
DAPL1	1	1	1	1	1	1	1	1.29501	1.47866	4.08666	1.17311	1	1
DBIL5P	1.17561	1.27995	1.69402	1.97521	1.69402	1.17561	1.2042	1.23217	1.1745	1.24633	1.14672	1	1.41489
DCAF13	85.7123	86.0846	31.5326	47.8998	31.5326	85.7123	64.3495	82.2527	9.24227	11.9326	61.035	14.1226	11.6948
DCAF8L1	1.13436	1.14829	1.09635	1.21585	1.09635	1.13436	1.12783	1.13835	1.38803	1	1.03608	1	1
DCBLD2	35.001	38.3617	32.9549	39.8033	32.9549	35.001	53.2862	61.6627	8.98759	4.65706	53.6375	1.40778	3.64869
DCDC2C	1	1	1	1	1	1	1	1	1.03184	1	1	1	1
DCK	21.0012	21.8439	15.4378	21.081	15.4378	21.0012	33.2124	37.9889	11.5807	10.3565	32.9707	10.0245	15.5243
DCLK3	1.59523	1.37539	4.29283	3.12498	4.29283	1.59523	1.06067	1.04864	1.48331	1.13409	1.03425	1.46732	1.36918
DCTN4	35.0224	35.373	35.7123	44.2592	35.7123	35.0224	33.9987	40.7091	23.9018	23.9675	36.9836	17.3179	20.5375
DCTN6	38.5083	35.5951	41.6569	63.2776	41.6569	38.5083	39.0523	46.0699	19.2193	19.8081	48.8652	19.4049	19.9345
DDC	1	1.08191	1	1.05299	1	1	1.07061	1	68.3987	121.205	1.2392	248.864	73.178
DDX26B	6.02257	6.65903	9.27437	14.4667	9.27437	6.02257	7.71824	8.19075	8.79988	6.02587	8.08618	5.61804	2.33193
DDX26B-AS1	1.28148	1.31065	1	1.40195	1	1.28148	1.26779	1.51527	1	1.45366	1.60471	1	1
DDX47	75.8897	72.7356	70.6819	105.812	70.6819	75.8897	86.3613	94.439	21.4054	26.5874	80.6795	38.0319	24.7018
DDX60L	1.99988	2.28995	1.08578	1.07117	1.08578	1.99988	1.08695	1.05695	6.02822	6.39113	1.06246	8.00427	3.62237
DEC1	1	1.23036	1.71845	1.29806	1.71845	1	1	1	1	1	1	1	1
DEFB1	1.21093	1	1.24202	1.30121	1.24202	1.21093	1	1	22.2739	34.8026	1	25.0924	4.39112
DEFB104B	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB105A	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB105B	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB106A	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB106B	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB107A	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB107B	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB109P1B	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB122	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB123	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB126	1	1	1	1	1	1	1	1.18728	1	1	1.21979	1	1
DEFB127	1	1	1.2022	1	1.2022	1	1	1	1	1	1	1	1
DEFB128	1	1	1	1	1	1	1	1	1	1	1	1	1
DEGS1	37.5888	37.911	30.1678	42.2537	30.1678	37.5888	31.1405	38.6321	20.8599	17.6394	32.3477	17.8569	30.9971
DEK	268.001	274.946	111.188	135.738	111.188	268.001	293.277	364.803	61.5926	62.6362	277.664	64.3349	69.524
DENND1B	2.4408	2.40558	4.84304	4.86133	4.84304	2.4408	3.28694	3.25229	5.92142	6.05227	3.02617	6.60763	4.24621
DENND2C	3.20206	3.12655	7.03826	8.07828	7.03826	3.20206	2.24049	2.77682	1.44285	1.24992	2.19825	1	1.22388
DENND4A	3.66979	3.69653	3.57046	3.73138	3.57046	3.66979	4.77002	5.6942	7.29862	8.7281	4.68992	2.37226	3.93592
DENND4C	10.0035	11.4786	11.2466	12.259	11.2466	10.0035	14.1885	14.3784	17.3212	16.7102	13.3587	12.4038	10.5243
DENND5A	26.5837	25.9294	30.17	30.6498	30.17	26.5837	39.4479	41.3199	12.8238	6.08638	36.1133	5.0377	7.80376
DEPDC4	4.50801	3.9196	3.17748	2.72457	3.17748	4.50801	3.62619	3.6845	2.54138	2.22889	3.16211	2.27547	1.78409
DEPDC7	6.63593	8.93068	8.67906	9.19905	8.67906	6.63593	20.9061	21.9244	23.7921	10.4895	19.1999	65.5698	8.58166
DESI2	94.9365	100.967	40.2914	51.0851	40.2914	94.9365	47.8571	61.964	15.7468	11.5617	46.0262	16.7643	18.555
DET1	6.24101	6.05565	2.90812	2.50829	2.90812	6.24101	8.74362	10.1713	6.13961	6.85943	9.05239	6.53718	5.55247
DGAT2L6	1	1	1	1	1	1	1	1	1.08118	1	1	1	1
DGKD	4.4911	4.98308	5.51545	3.99119	5.51545	4.4911	7.25452	6.16243	6.8745	6.49135	6.23064	22.921	19.8912
DHDDS	15.772	14.8086	12.9105	11.7423	12.9105	15.772	12.5531	10.5654	10.5888	10.0156	10.4563	14.8581	12.8052
DHRS3	7.79769	8.38324	1.90789	1.35952	1.90789	7.79769	3.15573	3.20565	23.5327	22.8522	3.04764	89.1838	39.3639
DHX32	14.693	13.7628	17.2456	18.8467	17.2456	14.693	25.9332	31.7251	17.3277	19.209	23.5049	28.5771	16.3644
DHX9	133.04	137.192	93.8418	137.342	93.8418	133.04	121.65	159.079	42.549	48.4944	131.307	37.3326	33.2571
DIAPH3-AS2	1	1	1	1	1	1	1	1	1	1	1	1	1
DIP2A	7.44113	6.70333	9.63558	8.12923	9.63558	7.44113	6.79823	6.23641	11.7491	12.01	6.25557	11.07	5.62116
DIP2A-IT1	2.22487	1.27037	2.68648	1.69965	2.68648	2.22487	1	1.22422	1.54454	1.19683	1	1	1.4958
DIP2B	13.4725	14.0781	9.83096	11.9175	9.83096	13.4725	13.3607	14.9248	11.6812	9.57113	13.6116	7.62713	5.97519
DIRAS3	1.11486	1.04225	1.7907	1.7654	1.7907	1.11486	1.58306	1.63129	2.65423	1.81691	1.49396	2.69208	2.63439
DIRC1	1	1	1	1	1	1	1	1	1	1	1	1	1
DIS3	20.5502	21.8483	16.4267	20.8845	16.4267	20.5502	21.5318	24.4851	8.44529	7.93899	20.5701	6.25748	5.76167
DISP1	4.49562	4.62803	4.86474	4.63639	4.86474	4.49562	4.8983	5.55563	4.51158	4.2128	4.75494	2.527	3.07754
DKFZp686K1684	1	1	1	1.05373	1	1	1	1	1	1.02973	1	1	1.14599
DKK3	14.1175	13.3183	33.6628	36.7878	33.6628	14.1175	6.97715	8.39344	19.4736	4.41184	12.1241	6.07087	24.4599
DLC1	2.243	2.23143	57.0593	65.4176	57.0593	2.243	11.4661	13.4161	14.3755	9.26388	11.3658	5.51765	7.53327
DLEU1	9.50843	9.65905	5.32538	6.47688	5.32538	9.50843	13.6733	15.6968	4.68256	6.40508	12.2989	1.97153	5.06842
DLGAP1-AS2	11.0299	11.9019	14.0775	15.4314	14.0775	11.0299	2.87954	3.99057	1.622	2.50565	3.36702	1	5.75359
DLGAP1-AS5	1.16303	1.15994	1.10392	1.07761	1.10392	1.16303	1	1	1.0675	1	1	1	1
DLX3	1.06835	1.15087	1.18298	1.39041	1.18298	1.06835	1.30345	1.18768	2.40913	1	1.34262	1	2.14578
DLX4	1.52566	1.38717	1.84438	1.50043	1.84438	1.52566	1.20004	1.22453	1.45614	2.37764	1.22586	1	2.27692
DLX5	1	1	1.87348	1.95922	1.87348	1	1.68166	1.98372	3.60142	1.07081	2.63551	1	1
DLX6	1.06539	1	1.2626	1.28013	1.2626	1.06539	1.15553	1.29926	1.8038	1	1.28096	1	1.12673
DLX6-AS1	1	1	1.14039	1.17473	1.14039	1	1.08731	1.112	1.56976	1	1.29573	1	1
DMAP1	13.8642	10.8815	15.9268	10.0719	15.9268	13.8642	15.4891	8.9427	21.1836	23.3661	13.1588	85.667	14.5948
DMRT3	1.02765	1.03051	1	1	1	1.02765	1.13152	1.05061	1	1	1.2673	1	1
DNAH14	19.8221	19.5663	9.54385	11.6606	9.54385	19.8221	17.7254	17.6637	4.49698	3.58412	14.7699	1	1.47297
DNAH5	1.17419	1.14124	1.0571	1.08122	1.0571	1.17419	1.22321	1.27982	1.05036	1.2045	1.24057	1	1.00685
DNAH7	1.01793	1.03957	1.04114	1.0512	1.04114	1.01793	1.11086	1.14768	1.24392	1.20839	1.17332	1	1.00864
DNAJB2	8.68672	7.68184	32.4457	20.7447	32.4457	8.68672	15.6912	11.6223	24.7688	17.9744	15.6055	53.762	34.2069
DNAJB9	9.80127	9.91274	10.8567	16.8441	10.8567	9.80127	13.3374	15.269	16.9252	21.3413	14.3767	10.8005	11.7319
DNAJC1	10.0911	12.5353	17.942	26.7989	17.942	10.0911	19.9508	19.8416	13.0585	12.7739	21.3085	32.9336	17.9895
DNAJC22	1.10099	1.11145	2.31319	2.29788	2.31319	1.10099	1.28823	1.15405	10.8554	19.6932	1.47007	6.20253	17.248
DNAJC25	9.49578	10.6394	7.95342	11.7706	7.95342	9.49578	9.10779	12.9196	8.25682	8.21101	9.89808	5.18416	6.48061
DNAJC25-GNG10	1	1	1	1	1	1	1	1	1	1	1	1	1
DNAJC27	3.14872	3.20352	3.08171	2.95829	3.08171	3.14872	3.20539	3.63787	3.53546	3.2352	3.0555	2.25439	2.70919
DNAJC27-AS1	1	1	1.04207	1	1.04207	1	1.12791	1.04475	1.15488	1.22168	1.13129	1	1.07077
DNAJC28	6.30213	6.10272	5.08817	5.3006	5.08817	6.30213	2.49216	2.82474	2.80078	3.41416	2.64029	2.87615	3.47105
DNAJC5B	1	1.05127	1	1	1	1	1	1.04252	1	1	1	1	1.27086
DNAL4	4.15109	4.47773	13.1169	7.99291	13.1169	4.15109	9.66957	6.10579	8.92891	9.51625	7.90693	11.3593	18.5307
DNASE2B	1	1	1.07787	1	1.07787	1	1	1.06212	1.05051	1	1.07287	1	1
DND1	1.75391	2.31617	2.57717	1.89763	2.57717	1.75391	2.49453	1.93908	2.98014	3.17373	2.17619	7.90477	9.09233
DNM3OS	1.02114	1.01566	1	1	1	1.02114	1.10802	1.15933	4.48218	3.03111	1.27449	1.31241	2.50809
DNMBP	11.4576	10.9651	13.5037	11.009	13.5037	11.4576	11.1667	10.1118	17.2717	18.2869	9.65571	11.27	14.7013
DNMT3A	38.578	38.3932	26.453	22.3569	26.453	38.578	24.7588	22.3451	22.5089	24.2492	23.2057	4.59348	10.0139
DOCK5	4.24041	4.98643	2.56906	2.84669	2.56906	4.24041	2.67578	2.58501	14.2252	20.2162	2.46098	10.6338	3.86639
DOCK7	14.0151	14.6937	29.0751	34.8892	29.0751	14.0151	25.6097	32.0536	11.1015	9.37244	25.0281	3.09211	3.65537
DOCK8	1.79572	1.92166	2.81557	3.46291	2.81557	1.79572	1.35965	1.53405	3.31109	9.22769	1.45683	4.46086	3.00489
DPH5	44.8215	41.819	19.8254	24.3584	19.8254	44.8215	61.553	73.5755	12.2415	12.7326	61.4828	9.37264	13.3196
DPM3	4.28356	3.33711	4.20454	1.4985	4.20454	4.28356	6.64588	3.2366	36.9614	43.0426	3.43736	162.27	242.364
DPP10	5.52424	5.35438	12.3715	13.7864	12.3715	5.52424	3.82079	3.82193	4.69148	8.24701	6.17702	1	1.82074
DPY19L2	2.77243	3.03441	2.65947	3.16658	2.65947	2.77243	2.42995	2.1421	3.9698	2.24136	2.11189	1	1.49284
DPY19L2P1	1.16746	1.23102	1.4083	1.23913	1.4083	1.16746	1.23897	1.30655	1.0156	1	1.53965	1	1
DPY19L2P2	1.172	1.13806	1.12994	1.15657	1.12994	1.172	1.17851	1.25651	1.39654	1.14644	1.52069	1	1.27182
DPYSL3	284.788	283.584	119.322	103.391	119.322	284.788	47.0565	52.1617	118.204	9.40433	77.646	16.3688	31.0425
DR1	35.6643	36.5678	24.1211	26.0361	24.1211	35.6643	47.0424	55.4338	20.1928	20.5859	42.1039	20.6185	17.7296
DRAP1	26.6454	22.9053	26.3557	13.3696	26.3557	26.6454	21.5051	13.6106	28.211	22.8809	23.7123	104.074	14.1802
DRD5	1.05031	1	1	1.07184	1	1.05031	1	1	1.07497	1.07942	1	1	1.29206
DROSHA	38.4316	37.6593	33.8297	40.7027	33.8297	38.4316	31.4186	33.9963	13.479	13.3037	31.1232	7.72116	5.86204
DSC1	1.01364	1	1	1	1	1.01364	1.03844	1.1496	1.01016	1.06625	1.02907	1	1.02633
DSC2	24.2475	25.1365	35.4427	51.494	35.4427	24.2475	105.871	90.3329	29.5025	36.9266	85.0319	21.3981	18.8351
DSG1	1.06253	1.06902	1	1	1	1.06253	1.01983	1.02862	1	1.05752	1.0112	1	1.0212
DSG2	125.21	130.724	104.278	124.769	104.278	125.21	294.64	266.519	53.4893	55.9731	194.332	36.9189	63.9758
DSP	22.5386	25.2124	54.7325	60.3821	54.7325	22.5386	116.956	111.928	72.4081	81.6121	102.209	78.0087	39.6204
DSPP	1.05295	1	1.01519	1.0189	1.01519	1.05295	1	1	1	1	1	1	1
DTNA	11.9222	12.0717	19.4546	24.7532	19.4546	11.9222	4.95639	4.01808	4.7887	7.60389	8.29623	2.61405	2.61347
DTNBP1	10.305	9.45651	10.3253	9.55618	10.3253	10.305	11.2912	11.1396	9.2316	11.2443	12.4383	19.6471	15.3216
DTWD1	17.3123	18.5521	11.0846	13.8725	11.0846	17.3123	15.6602	22.8784	6.51888	5.85701	13.1094	3.98692	6.76869
DUS4L	9.94391	10.8032	7.15099	8.24433	7.15099	9.94391	10.69	13.156	4.57567	4.82936	10.5029	4.12835	4.21947
DUSP1	3.76168	3.08719	6.47637	7.73002	6.47637	3.76168	4.94112	5.14883	116.068	79.2992	6.51393	77.8286	224.81
DUSP16	36.027	37.0616	10.5137	11.7548	10.5137	36.027	11.3223	12.4454	23.5637	34.3122	13.0774	28.1265	18.8921
DUSP27	1.11412	1.18892	1.1964	1.28518	1.1964	1.11412	1.12214	1.07834	1.2977	1.21376	1.06129	1	1.05509
DUSP5	10.7089	11.5856	50.7385	67.8717	50.7385	10.7089	10.1698	11.651	4.29334	22.7464	10.3433	36.2271	12.4605
DUT	57.7744	55.6932	21.8165	30.6521	21.8165	57.7744	55.0479	69.1787	22.6815	23.9481	53.689	10.9278	25.4356
DYNAP	1.20978	1.66151	1	1	1	1.20978	1.02851	1	1	1.11833	1	1	1
DYRK1B	2.63083	2.93625	5.42284	3.11713	5.42284	2.63083	2.19891	1.67849	12.8017	15.2005	2.75363	10.6458	8.88894
DZIP3	22.4113	23.3543	18.016	19.8247	18.016	22.4113	19.9292	20.8319	7.99758	6.99428	16.3807	1.22498	2.48107
EBLN1	1.05656	1	1	1	1	1.05656	1.16142	1.05177	1	1	1	1	1
EBNA1BP2	75.4451	73.0731	47.1073	51.5813	47.1073	75.4451	59.7509	60.0544	17.2299	25.6448	62.0263	38.8163	17.5134
EBPL	52.7527	52.3631	19.9304	22.2266	19.9304	52.7527	51.2735	60.4073	13.6816	16.619	46.1428	11.3964	46.5087
ECT2	64.1532	67.089	40.6361	55.8807	40.6361	64.1532	65.7286	78.6313	9.4062	6.95982	58.9467	1.92922	8.99314
EDAR	1	1.03007	1.03126	1.01946	1.03126	1	17.3709	21.8379	1.93426	1.85961	13.4105	1	1.07892
EDNRB	9.09859	9.19236	1.88877	1.97566	1.88877	9.09859	1.13405	1.043	29.5024	71.3894	1.08632	4.10365	7.37698
EDRF1	16.9197	16.4015	12.6931	14.8763	12.6931	16.9197	17.4602	21.2515	7.32518	7.46823	16.0497	5.11923	4.3506
EEF1D	53.5802	56.3561	54.7776	34.0562	54.7776	53.5802	113.769	71.8986	78.746	103.794	117.862	635.955	285.136
EFCAB13	1.99942	2.31208	2.58152	2.54918	2.58152	1.99942	1.12765	1.20556	4.83735	4.08429	1.1455	1	1.39249
EFCAB14-AS1	1.79536	1.68643	3.63746	2.41253	3.63746	1.79536	1.19794	1	1.73011	1.59532	1	1	1
EFEMP2	1.59932	1.52317	8.8302	3.26013	8.8302	1.59932	8.0691	3.49493	19.285	8.25585	6.35703	7.46594	6.90368
EFNA1	1.99858	1.97396	1.59832	1.74468	1.59832	1.99858	16.6721	6.94596	55.006	56.019	11.6495	183.654	46.2662
EFNA3	3.25042	3.02517	3.62182	2.38433	3.62182	3.25042	11.9026	7.02096	3.78552	3.32483	10.8554	3.29365	2.61104
EGFR	2.10361	2.38543	1.92714	1.59279	1.92714	2.10361	2.22333	1.88039	14.7554	15.596	2.54438	4.11578	5.72441
EGOT	1	1.09586	1	1.06202	1	1	1.04132	1	1.06469	1.13733	1	1	1.3374
EGR2	1.274	1.23262	1.12091	1.21068	1.12091	1.274	1.27202	1.37848	2.33899	1.58019	1.63726	1.46426	7.02968
EGR4	1	1	1	1.03597	1	1	1	1	1	1.03977	1	1	1.04874
EID1	140.175	136.547	99.5295	129.994	99.5295	140.175	145.032	186.289	96.3032	66.5678	155.32	86.5819	88.5268
EID3	2.54988	2.8531	2.03735	2.47601	2.03735	2.54988	1.08205	1	2.57119	2.12319	1.09255	1.95255	1.83612
EIF1	269.101	247.828	279.843	383.92	279.843	269.101	302.716	353.579	157.828	245.461	356.254	729.823	333.115
EIF2A	45.5542	47.2193	32.4537	40.4225	32.4537	45.5542	67.5733	77.5124	22.8949	34.1838	63.2795	45.4815	19.8626
EIF2B2	25.1906	23.4138	18.6288	25.3328	18.6288	25.1906	29.2627	33.8384	14.4223	13.499	30.5845	37.1371	24.6389
EIF2S2	69.5206	71.0936	43.6566	58.5326	43.6566	69.5206	41.4629	48.3254	9.16626	11.5451	39.3132	38.8076	48.1303
EIF3IP1	16.2107	16.0162	13.7291	12.9565	13.7291	16.2107	17.9272	18.0516	7.95884	1	20.337	1	1
EIF3J	45.907	46.2303	30.982	46.8841	30.982	45.907	65.2777	84.0073	16.8715	19.3691	61.5419	33.7303	43.5706
EIF3M	298.498	300.628	154.622	208.17	154.622	298.498	311.742	371.904	77.5151	94.4008	302.219	148.195	56.0175
EIF4E	22.8568	21.9023	12.9028	17.7145	12.9028	22.8568	23.5634	27.752	5.01838	5.54943	20.0428	8.13525	7.46114
EIF5B	90.7187	95.3362	54.9817	73.4966	54.9817	90.7187	66.8564	81.1608	24.207	21.5923	63.6303	54.4655	14.2813
ELMOD1	1.76452	1.91653	1.04534	1.0282	1.04534	1.76452	1.39502	1.61005	1.20627	1.01556	1.90547	1	1.34399
ELOVL4	12.9367	13.1185	7.18955	8.86726	7.18955	12.9367	10.2088	10.9627	4.02233	1.72448	10.3496	1	2.22016
EMB	26.3138	28.3649	38.2144	54.1011	38.2144	26.3138	9.86335	11.4519	2.30946	35.5953	9.87803	27.9305	18.8065
EMC2	50.6136	52.6075	49.8629	73.8857	49.8629	50.6136	72.933	85.487	24.3696	31.5567	70.0156	47.8326	14.4689
EMC6	25.2014	25.5181	18.8669	14.7495	18.8669	25.2014	17.7123	19.134	16.5975	17.0608	21.4992	47.6737	70.2163
EMP3	11.2272	10.0685	10.5281	5.49371	10.5281	11.2272	26.6139	22.1221	30.1336	10.5006	24.5681	18.5479	24.9799
EMR1	1	1.05003	1	1	1	1	1	1	1.4689	2.14631	1	1.99895	1.08769
EMR4P	1	1	1	1	1	1	1	1	1.24157	1.08528	1	1	1.08358
EN2	1.01712	1.03779	1.01964	1.19559	1.01964	1.01712	2.74289	3.06856	1	1	12.7336	1	1
ENKD1	2.02386	2.22039	2.87962	2.22815	2.87962	2.02386	2.28579	2.38696	7.46694	6.53527	2.8037	3.71643	9.58653
ENO4	1.34903	1.6118	1.87162	1.90888	1.87162	1.34903	1.39066	1.31947	1.74972	1.85866	1.30876	1.90437	1.07939
ENOSF1	9.14256	8.83198	9.32975	9.89498	9.32975	9.14256	6.53437	6.85488	18.8761	48.8943	6.1612	16.0729	8.81332
ENPP1	13.7262	15.4286	10.6826	11.8327	10.6826	13.7262	10.9531	12.0472	3.72909	5.87315	13.0406	1.99502	1.53857
ENPP2	3.12689	3.17288	2.92153	4.74594	2.92153	3.12689	18.9452	24.7707	13.1583	15.08	14.4219	4.95692	39.7489
EP400NL	2.22771	2.03881	2.73735	1.75971	2.73735	2.22771	1.35041	1.41203	4.01768	1.84099	1.65939	1.90479	2.50945
EPB41L3	9.76663	10.6059	27.6522	36.5692	27.6522	9.76663	11.0512	11.1116	16.9733	12.1791	14.1573	76.6429	28.6572
EPB41L4A-AS2	1.13727	1	1.1575	1	1.1575	1.13727	1.1306	1.12564	1.61338	1.25326	1.04915	1	2.68934
EPDR1	8.50805	8.63735	4.47319	5.53005	4.47319	8.50805	6.45748	6.94738	6.48633	4.0577	5.18518	31.2868	17.2515
EPHA6	2.21663	2.51088	2.04694	2.04414	2.04694	2.21663	3.79626	3.50444	3.11229	1.54133	3.66743	1	1
EPHX2	6.65568	6.16465	3.00936	2.27089	3.00936	6.65568	13.9465	11.0905	57.3347	150.684	10.9918	151.719	30.1327
EPN2	10.9088	10.1686	14.0495	13.0755	14.0495	10.9088	11.3488	11.1752	14.0298	9.93989	11.6284	5.84868	13.2223
EPN2-IT1	1.08783	1.48474	1.20156	1.25104	1.20156	1.08783	1	1	1	1	1	1	1.34444
EPRS	97.2192	103.195	48.1805	65.4765	48.1805	97.2192	79.7492	92.125	29.865	27.4605	77.6792	20.2251	28.548
EREG	1	1	1.25505	1.31743	1.25505	1	1.01175	1.02261	1.23933	6.82366	1.01327	1	1.81047
ERG	1.21771	1.31795	1.0939	1.01734	1.0939	1.21771	2.35951	2.07453	3.21	2.75777	2.52224	3.92559	8.62247
ERI3-IT1	2.22146	2.6851	2.2494	2.04284	2.2494	2.22146	1.46731	1.2795	5.61426	2.47398	1	1	2.35027
ESCO1	24.7615	26.3682	18.1054	20.4907	18.1054	24.7615	19.189	22.2482	10.5857	10.5097	17.7656	7.43409	5.51816
ESR2	1.46404	1.41444	1.45461	1.74008	1.45461	1.46404	1.12204	1.12397	1.1905	1.16898	1.1378	1.91943	1.36267
ESRRG	1.80451	1.92138	1.52392	1.59041	1.52392	1.80451	2.07247	1.88292	2.05446	5.65289	1.90938	5.21903	3.16572
ESYT3	3.94864	3.50112	1.84211	1.68033	1.84211	3.94864	1.30625	1.15321	1.36471	1.30463	1.2213	1	1.22371
ETS1	27.0856	28.093	31.3969	40.6925	31.3969	27.0856	7.36694	6.74026	17.3038	13.1015	7.71178	11.9665	23.5289
ETS2	14.0409	13.31	50.2904	52.0474	50.2904	14.0409	13.4214	11.7848	55.9107	70.3186	14.4974	155.62	121.919
ETV5	19.9073	18.8199	20.7802	22.3556	20.7802	19.9073	51.0038	47.4652	3.7266	2.8571	46.7839	1.30831	3.13798
EVPL	1.01712	1.02834	1.00982	1.01222	1.00982	1.01712	1	1	23.4723	20.5548	1.01839	17.3635	10.4102
EWSR1	140.859	126.218	138.179	147.283	138.179	140.859	93.19	92.2112	56.7207	64.5617	91.7647	102.929	71.6411
EXOC1	19.1662	20.4295	24.2991	29.255	24.2991	19.1662	25.622	28.2086	15.7616	17.2809	22.8856	18.0327	10.6023
EXOC6	7.25821	7.51225	15.3796	20.011	15.3796	7.25821	9.1654	13.0216	7.63513	9.20035	10.8474	6.7235	7.5942
EXOSC10	51.0369	49.9124	58.8451	61.3935	58.8451	51.0369	57.0197	58.1331	23.4385	23.4261	54.3873	20.8789	8.56443
EXTL3	25.0383	25.6514	19.3978	19.4355	19.3978	25.0383	19.704	23.2202	8.17588	5.62103	21.956	3.26989	18.5909
EYS	1.09994	1.13353	1.13396	1.23288	1.13396	1.09994	1.09241	1.08185	1.28049	1.42438	1.09041	1	1.09125
F13B	1.02714	1.05991	1	1	1	1.02714	1	1	1.06067	1.34284	1	1.59849	1.10509
F3	4.70259	4.41562	11.5111	11.4084	11.5111	4.70259	4.3553	3.99258	15.6549	22.8708	5.34771	13.6533	21.5334
FABP5P3	1.16784	1	1	1.11984	1	1.16784	1	1.15362	1	1	1	1	1
FAF2	29.0962	28.7776	40.6966	52.7219	40.6966	29.0962	29.4663	33.2701	20.0342	23.1269	30.3909	8.52496	19.617
FAM105A	3.94562	4.33025	3.14326	4.08923	3.14326	3.94562	4.44035	6.15842	5.96897	5.68819	5.01305	4.33257	7.69697
