Genes	AS1	AS2	AS3	D41	D42	D43	DE2	DE3	ES1	ES2	ES3	F1	F2
PRKACB	27.2004	4.21013	8.16347	17.004	27.4507	36.2359	15.4126	13.54	22.3079	24.453	23.27	35.9667	14.9265
PRKCA	2.87061	21.7149	10.7226	1.71698	2.73054	3.40923	1.76691	1.36846	5.59347	5.97619	4.9059	11.3164	12.1055
PRPS1	64.6094	8.02479	13.5716	77.8579	74.8587	78.0571	80.6974	64.1308	173.752	167.638	175.065	10.0323	10.1876
PRRG4	1	8.33046	4.94061	1	1	1	1	1	1	1	1	4.42069	5.32193
PSMA5	38.1089	55.3887	12.8227	42.5511	36.5362	44.8148	43.2306	31.3428	53.5324	49.7257	53.6201	12.4567	18.4768
PSMG2	73.7416	92.1115	43.0573	60.334	75.3876	90.0064	61.0775	43.5671	69.2196	69.3141	68.2403	28.102	36.6379
PTBP2	22.6556	1.83178	5.62789	30.9617	22.4411	27.8064	28.0738	22.6715	40.6505	40.308	45.8641	14.3545	7.27494
PTGFRN	18.6918	4.23348	17.6241	10.8129	21.7474	18.9076	12.3916	13.7454	6.95303	6.73227	6.79263	15.7203	6.63155
PTH2R	1	1	1	1	1	1	1	1	1	1	1	1	1
PTPRO	1.52788	1	3.66731	1	1	1	1	1	1	1	1	1	1
PVT1	4.08251	1	1	1.63964	3.89393	4.11418	1.87866	1.42562	9.46489	7.78409	7.14647	1	1
PWWP2A	16.1062	7.89776	8.94732	23.3765	17.2841	18.3768	23.5812	16.9715	35.8366	37.6879	39.5003	15.0612	12.5021
QSER1	25.3111	1.1825	4.42837	48.9217	27.6419	31.4392	53.2786	39.6239	45.9478	50.7833	43.4709	10.159	9.32145
R3HCC1L	14.4643	6.14552	5.47313	11.9971	14.3156	15.8686	12.8345	9.13842	12.2729	11.8544	13.1724	9.48993	11.1167
RAB11FIP2	9.7193	1.43505	3.49093	11.4903	10.8356	12.4481	9.68388	8.41233	9.46783	10.0786	9.71259	6.9743	6.33925
RAB14	34.8535	41.3146	33.9321	39.5696	35.1556	39.1968	38.5302	30.7324	28.7946	29.5177	27.4815	28.5222	32.3431
RAD23B	110.314	51.2783	51.8647	120.53	114.513	131.67	114.996	89.17	96.65	101.258	109.922	35.5108	43.3557
RAD50	15.6975	8.26285	8.40646	23.4416	16.3745	16.9659	23.0891	18.8165	24.2873	27.4179	23.1518	12.9514	14.4713
RAD51	15.7711	1	3.19556	15.3974	16.3514	18.1381	15.7151	12.6436	17.5707	17.1587	19.3087	3.731	3.70387
RAD51-AS1	1	1.30179	2.7438	1.79517	1.17241	1	2.59775	3.56854	3.22751	2.72013	2.24415	5.76691	6.82779
RAMP3	1	4.23261	44.0429	1	1	1	1	1	1	1	1	1	1
RARB	1.28108	1	1.32052	1.85455	1	1	1.34943	1.18194	1	1	1	5.91716	4.39871
RASGRP4	1	1	1	1	1	1	1	1	1	1	1	1	1
RASL10B	10.3241	1	2.25993	3.39109	9.21335	6.77337	3.02675	5.01066	7.21747	6.09017	6.00306	1	1.09561
RASSF4	3.12516	123.502	17.3934	1.02132	2.83594	1.76799	1	1.55961	3.86321	3.02667	3.85514	13.2031	7.60437
RASSF6	1	8.81629	3.92192	1	1	1	1	1	1	1	1	6.08192	6.86997
RASSF9	1	1.51557	2.92741	1.04982	1.3386	1.4763	1	1	1	1	1	1.63618	1
RBBP5	12.984	7.71148	5.95204	11.8026	14.2076	16.4652	11.2199	10.0163	12.4686	12.1655	12.597	6.52458	7.02806
RBM24	1.84732	1.09876	2.07389	24.0938	2.82174	1.93893	21.4254	15.7887	1	1	1	1.02686	1
RBM26-AS1	1	1.06226	1	1	1	1	1	1	1	1	1	1	1
RBM3	74.8988	71.0467	44.6522	104.412	73.7123	77.3744	101.839	78.8019	59.7118	59.1416	68.0823	32.9016	35.8399
RBM4	64.1715	49.6954	61.6882	53.5177	57.9265	62.1532	58.4028	46.8941	69.4353	67.9322	70.77	29.4791	44.3746
RBM47	3.16588	95.6887	52.6404	6.45347	2.92455	2.53408	7.15891	5.58926	25.2258	26.1303	28.0894	49.3979	59.8177
RBM6	46.5319	114.348	19.4031	73.633	43.9331	46.6905	71.6727	61.7178	68.7525	64.6314	71.8319	34.7929	43.1973
REC114	1	1	1	1	1	1	1	1	1	1	1	1	1
REEP4	6.2231	8.10018	19.6291	9.57174	7.22096	5.63822	9.68664	11.1487	6.59999	6.23198	5.8001	10.3519	8.63336
REG1B	1	30.3832	1600.65	1	1	1	1	1	1	1	1	1	1
RELL2	1	2.94874	2.19606	1	1	1	1	1	2.23546	1.49674	1.62904	1	1
REP15	1	32.4039	15.5947	2.50249	1	1.55097	2.75352	1.60903	1	1	1	39.3259	21.7365
RETNLB	1	3.34106	51.1052	1	1	1	1	1	1	1	1	1	1
REV1	16.3663	7.43024	5.77663	16.8054	15.5628	18.4523	15.9307	12.3061	16.4612	16.1142	15.055	11.1454	11.0454
REXO1L2P	1	1	1	1	1	1	1	1	1	1	1	1	1
RGMB	17.3925	3.56919	57.1401	26.786	10.3337	12.8208	27.3666	21.7721	6.87827	6.7517	6.6409	28.5247	27.3786
RGMB-AS1	1.0643	1	3.47732	3.84421	1	1	3.97347	2.95643	1	1	1	2.49227	2.55578
RGPD1	1	1	1	1	1	1	1	1	1	1	1	1	1
RGPD2	1	1	1	1	1	1	1	1	1	1	1	1	1
RGS1	1	20.1661	15.6713	1	1	1	1	1	1	1	1	13.2346	10.304
