Gene     RPKM           
DSG4                0.0872929

OR6C65              0

FDXR                8.85363

SNAR-B2             0

MLIP                0.81283

FNDC3B              5.32475

CYP4A22             0

MIR548F2            0

SOX5                0.411053

MIR92A2             0

HLA-DRB6            0

CASP7               91.3156

SMAD3               15.278

MSX1                0.679984

FBXL3               24.8673

YEATS4              13.3981

TSSK1B              0

GPR22               0.161501

MIR1972-2           0

CPO                 7.07404

PRL                 0.0448817

LOC643623           0

GCK                 0.116842

GLT8D2              1.60785

FAM186B             0.107208

OR5P2               0

RBMS3               1.97193

OSBPL9              15.9244

BTG4                0

FAM217B             4.36067

FAR2                12.7691

SNAR-A8             0

FAM175B             12.2528

MIR4509-3           0

ZMAT3               1.89596

MIR873              0

NHEG1               0

PSMG1               18.0873

PIK3C2G             2.58065

RIOK1               7.85542

PECR                28.8293

OR13C4              0

MSX2                0.0921188

KRTAP10-7           0

TAB2                23.8169

CCDC130             41.8065

PARP15              0.236141

STARD10             130.566

SPDYC               0.472363

ITGB5               15.8179

HIC2                1.26839

HKR1                8.95447

CTNNA1              140.625

ANKRD28             10.2656

OR6K3               0

CD4                 4.3959

RRP1B               5.96656

GXYLT2              0.193393

USP44               0.149901

SLC41A1             2.8947

CMPK1               215.99

ZBTB38              11.1933

CPA5                0

LRRC37A2            0.506839

POM121L12           0

FLJ46066            0.256096

HKDC1               73.8889

MIR448              0

MIR491              0

MIR567              0

SPINK5              0.324455

IER3IP1             48.8072

HPD                 0.121577

TECR                18.2939

DNMT3B              0.221661

OR5T3               0

CPOX                17.7135

IL20RA              1.7928

TAS2R5              0.514162

SNAR-A3             0

KC6                 0

WDFY2               1.67498

LDHC                1.9596

LALBA               0

ZFP42               0

LOC100128554        0

NOX1                0.381284

HYALP1              0

VWCE                1.2142

NCOR1               60.2388

SH3D19              56.3148

RBFOX1              0.309817

ACTL9               0

LRRTM2              0.0949729

PDE4B               3.1504

MIR4429             0

NEDD4L              20.2187

STOML3              0

DPY19L2P4           0

PLAC4               0.17247

DIRAS3              1.39601

ABL2                2.93186

MAST4               2.36182

MITF                1.28642

DTWD1               3.90915

CFHR3               0

UBA2                32.8413

ATXN3               3.05728

CPS1-IT1            0.0175688

C9orf3              10.6687

MIR18B              0

WDYHV1              5.02779

GLT6D1              0

OR2A1               0

TMEM169             1.0346

SCN3A               0.10895

ILDR1               1.72465

TAS2R14             0.298077

PLCH1               2.39

IL17A               0.0223345

MIR3198-1           0

MAN2B1              19.7763

OLFM3               0.463663

PEX5                20.9743

SCG5                3.79175

LAMP1               59.1468

HSD17B4             119.524

KIAA1279            11.9502

GTF2H2              0.298167

SLC9A8              4.75915

NKAIN2              0.06333

POSTN               9.42082

MIR4491             0

ZNF385B             0.015272

LOC100131564        0.980078

OR5M9               0

POLA1               3.35317

TUBA1C              269.487

DDX43               0.0296003

KCTD6               4.48778

CLOCK               2.81322

SNAR-A4             0

APLNR               1.38926

EFHC1               2.51955

CDH2                0.558927

CPB2                0

C3orf79             0

OR13C3              0

NFKB2               10.6768

SCGB3A2             0.121124

RAB8A               86.6379

MIR4693             0

TMEM47              2.76524

SLC38A9             3.9331

SNAR-A6             0

SYNPR               0.154322

OR7D2               0.0122033

MIR4509-1           0

TRAK1               49.2629

TCN2                13.478

AGPAT1              0

HGF                 0.142777

SCEL                0.0254508

SH2D1A              0.096042

SPTA1               0.00470661

ANGPTL3             0.0384285

FGL1                0.213046

CCDC30              0.799554

SGK494              0.871047

PTPDC1              1.83143

CABIN1              11.5954

TCL6                0.0118757

NAA16               2.91832

HAP1                0.364736

BMPR1B              0.0928121

KIAA0040            9.6398

KDM6B               10.1014

FMNL3               1.39302

MIS18BP1            4.32016

GATA3               0.335843

AKAP6               0.621899

OR6K6               0

MIR30E              0

MOGS                53.29

DCDC2               0.141871

ZNF330              16.0644

SLCO6A1             0

UEVLD               5.96779

ELOVL6              10.1222

NKX1-2              0

CFHR2               0

HSDL2               34.5433

GALT                64.4078

CLLU1OS             0

CYTIP               11.6855

ABL1                20.6042

MPZL1               21.1218

DR1                 17.9396

RNF148              1.13516

BASP1P1             0

OR56B1              0

OR51S1              0

SNX30               6.5018

SPC25               3.0565

CAPS                16.2849

RASAL2              2.77954

GGH                 3.97517

RECK                1.76293

PAK2                25.4347

ARHGAP15            4.70773

EVI5                4.72441

KIF5C               1.20951

E2F5                4.80365

CLEC9A              0.0503668

ASB15               0

REXO1L2P            0

KCNK5               43.5001

LOC400655           0

SNAR-D              0

SCYL1               34.7484

VSIG10              30.0562

LIN28A              0

TAAR6               0

WDR83OS             153.972

LINC00320           0

TIAM2               11.2716

SULT1B1             50.9771

DCAF17              3.79538

DMRTA1              0.017594

SNAR-A10            0

CDK14               1.4058

SNORD98             0

CTCFL               0.0113298

CCNJ                3.19013

IBSP                0

MS4A2               0.323001

SEMA3E              0.343059

MIR572              0

GC                  1.52494

GNG3                2.96948

RNASE9              0

COLEC11             1.59102

RACGAP1             7.59117

FAM183A             0.121525

DEFB110             0

SLC26A7             0.00727427

RPSAP52             0

SALL2               0.868558

CDK13               8.28475

LINC00486           0

MIR181A1            0

AARSD1              12.4511

ARHGEF33            0.109405

SETD5               10.6008

NAP1L5              3.36854

ADNP2               8.19177

OR5B21              0
