Gene	Sample	RPKM
PARP15	D4CF	0

C2orf88	ESC	0.87232

NAA16	ESC	18.2669

TRIML2	Fetal-SI	0

C22orf31	D4CF	0.0561293

PCGEM1	ESC	0.0113034

FAM180A	Adult-SI	0.557868

CDK14	Adult-SI	1.4058

ATP2B1	Adult-SI	15.1057

RRP1B	Endo	19.3929

SELPLG	Endo	0.0824896

SCARNA21	ESC	0

ITLN1	Endo	0

SLC26A7	Endo	0.0666199

PATZ1	D4CF	26.255

LOC400655	Adult-SI	0

RAB14	Fetal-SI	32.1293

PLA2G6	Adult-SI	10.4179

LOC100130964	D4CF	0

EDARADD	D4CF	146.893

IPO7	D4CF	120.055

CECR2	Endo	19.8449

GNRHR	Endo	0.125472

HLA-DRB6	ESC	0

MIR4796	ESC	0

ANKRD28	ESC	23.5761

PLXNB1	ESC	13.4996

PDE4B	Adult-SI	3.1504

ROBO2	Adult-SI	0.301231

KIAA1279	D4CF	20.0708

ACTL9	D4CF	0

PYCR2	Fetal-SI	19.0098

FAM180A	D4CF	0

FABP9	Fetal-SI	0

LPHN3	ESC	2.71666

ABL2	Fetal-SI	3.77891

MAD1L1	Fetal-SI	5.04665

ZNF280D	D4CF	0.22665

MIR302B	ESC	0

GZMA	Endo	0.165066

MIR873	ESC	0

PROL1	Endo	0

ARHGEF33	D4CF	0.0619613

CLLU1OS	Fetal-SI	0.0333101

MIR548H2	Fetal-SI	0

ACTL9	Fetal-SI	0

RNF43	Endo	0.471508

KDM6B	Adult-SI	10.1014

MIR1233-1	Adult-SI	0

TCEB3C	ESC	0

OR5T3	Adult-SI	0

NAV2	D4CF	6.01512

CABIN1	Endo	9.32157

TIAM1	Fetal-SI	1.71965

SPINK6	D4CF	0

CLCC1	Endo	10.5737

SLC38A9	Fetal-SI	7.39857

RGS12	ESC	1.88181

DLEU2L	D4CF	0.967576

IKZF5	Fetal-SI	9.48118

NOX1	Fetal-SI	9.77324

OR2A1	ESC	0.129203

RUFY3	Adult-SI	11.9985

SNAPC1	D4CF	15.5509

REM2	ESC	0.70017

SNORA70B	ESC	3.1744

OR6K3	Endo	0

CXCR4	Endo	238.135

DEFB133	D4CF	0

FAM184A	D4CF	15.5629

KRT6B	Fetal-SI	0

MIR551B	Adult-SI	0

RRP1B	D4CF	34.1888

RASAL2	Fetal-SI	10.9092

COX5A	Fetal-SI	89.7469

MKRN2	ESC	10.131

USP44	Fetal-SI	0.134635

CCDC83	ESC	0

CASP7	ESC	3.0524

MIR448	Endo	0

LOC399815	Adult-SI	0.516262

TMEM47	D4CF	29.4632

APLF	ESC	3.31956

MKRN2	Adult-SI	14.575

ANP32C	Fetal-SI	7.60615

TTC3	Endo	45.0592

C6orf226	ESC	1.45188

R3HDM1	Endo	17.338

NR2C1	ESC	18.5056

WDYHV1	D4CF	38.7791

OR7D2	D4CF	0.636354

CT62	Adult-SI	0.0227214

MIR4652	Adult-SI	0

MSX1	Endo	0.195959

LGALS8	Endo	2.17685

LOC100130093	D4CF	0.47946

LOC550113	D4CF	1.26E-06

HSD17B4	Fetal-SI	38.8869

OTOL1	Adult-SI	0

MIR4295	Endo	0

MIR367	D4CF	0

FAM217B	ESC	10.9405

POU6F2	Fetal-SI	0.0573025

MIR572	Endo	0

JAKMIP2	D4CF	9.68641

RUFY3	D4CF	18.0655

SCN7A	Endo	0.0126574

GEMIN8	Fetal-SI	4.30333

CAPS	ESC	0.168888

MIR19B2	ESC	0

IL17A	Adult-SI	0.0223345

LINC00486	Adult-SI	0

MYL10	Fetal-SI	0

CDCA7L	Fetal-SI	6.49416

EHBP1	Endo	11.9001

HIST1H2AL	Adult-SI	7.48323

DSG4	Fetal-SI	0.0134293

GTF3C3	ESC	20.6206

AGPAT1	D4CF	44.4128

PART1	Adult-SI	0.0844092

ATP6AP1L	Fetal-SI	1.84751

SPC25	Adult-SI	3.0565

ANKUB1	Endo	0

SYNPR	Endo	0.261349

CFHR2	Adult-SI	0

AGPAT1	Adult-SI	56.5302

MIR583	Adult-SI	0

SCMH1	ESC	10.4356

FTH1	Fetal-SI	666.04

ESR1	ESC	0.0304341

ETS1	Adult-SI	13.5072

CFHR2	Endo	0

LPCAT2	Adult-SI	2.9028

OR5P2	Adult-SI	0

TRPM1	Endo	0.0752886

OR5T3	D4CF	0

NAPB	Fetal-SI	8.15398

IKZF5	ESC	9.1692

AARSD1	Fetal-SI	10.7949

SNAR-A8	Adult-SI	0

TJAP1	Fetal-SI	12.6822

PIGX	Adult-SI	9.3175

ADSS	Fetal-SI	22.6323

C11orf88	D4CF	0.0621557

COL3A1	D4CF	22.2022

CITED4	Fetal-SI	4.89322

PAK2	ESC	21.6222

VSIG10	ESC	21.9829

DEFB105A	D4CF	0

SALL2	D4CF	35.4482

RNF43	ESC	0.346418

NEDD4	D4CF	10.8466

E2F5	Fetal-SI	6.03941

RIOK1	ESC	20.927

ACAP2	Endo	25.8303

LRRTM2	ESC	0.0521106

MIR873	Endo	0

DMRTA1	Adult-SI	0.017594

MIR448	Adult-SI	0

NEDD4	Endo	6.56435

CDX2	Fetal-SI	90.8849

TAS2R5	ESC	1.8673

KCTD6	Fetal-SI	9.50614

SRGAP2	ESC	11.0847

TMEM169	D4CF	6.56155

DAD1	Endo	193.622

LINC00460	Adult-SI	0

LOC100130964	ESC	0.0384918

LAMP1	Endo	101.31

LOC643623	D4CF	0.00508331

ANKRD6	Fetal-SI	1.87478

THSD7A	Fetal-SI	2.96939

GALT	ESC	10.2457

MIR449A	D4CF	0

CCP110	Adult-SI	3.14292

MANEA	ESC	4.47716

LOC100130298	ESC	0.114844

WDFY2	Adult-SI	1.67498

RAB23	Fetal-SI	8.99288

OR10Z1	Fetal-SI	0

SNAR-A6	Adult-SI	0

ABCB5	Endo	0.0839058

IFIT2	Fetal-SI	1.25189

MEX3A	Adult-SI	0.453649

ERO1LB	Endo	1.83213

HCAR1	Adult-SI	0.0797671

GEMIN8	Adult-SI	3.02925

MIR4737	D4CF	0

SOX5	ESC	0.285109

LOC399815	D4CF	0

MIR605	D4CF	0

CLEC9A	Fetal-SI	0.503074

RNF217	Fetal-SI	6.35431

HKDC1	D4CF	0.284637

MAOA	D4CF	6.40435

MSTN	Adult-SI	0.0987079

TFEC	Adult-SI	2.44128

