Gene     RPKM    

MIR4429             0

C4orf45             0

CCDC88A             1.03281

OR13C4              0

SLC2A1              3.07648

GPR22               0.161501

LRRTM2              0.0949729

HTR7                0.18151

TMEM222             28.6367

MIR548H2            0

MIR363              0

CHRM5               0.0260053

TRHR                0

TJAP1               24.7806

NIPSNAP3B           0.0955566

MIR320C2            0

FNDC3B              5.32475

ACAP2               10.1086

NEDD4               6.95762

KDM6B               10.1014

UEVLD               5.96779

GSTTP2              0

MTPN                55.7711

SAMD3               0.0195311

MIR125B2            0

FAM186B             0.107208

CAB39L              2.35635

TARP                0.818053

MRPL48              46.6448

FAM91A1             18.143

ATXN7               5.26152

SLC26A7             0.00727427

MYO15A              0.0602151

KC6                 0

DEFB105B            0

C3orf79             0

SNAR-A7             0

ATP2B1              15.1057

KIAA1279            11.9502

MIR583              0

OR5A2               0

MIR302D             0

PRC1                8.67152

THSD7A              0.403685

SNAR-A4             0

CPA5                0

TAS2R30             0

HIST1H3C            2.40626

SLC36A3             0

GRAMD1A             4.61913

NHEG1               0

HIST1H3G            2.91241

CCDC30              0.799554

DTWD1               3.90915

POM121L12           0

LOC283683           0.179105

SLCO6A1             0

OR6C65              0

BMP6                1.19693

RNF217              0.763853

BASP1P1             0

SERPINB11           0

MIR4773-2           0

KLHDC10             9.67153

MIR30A              0

LOC400655           0

RGS21               0

MIR181B1            0

SYNPR               0.154322

SPINK7              0.109888

AHCYL1              139.751

ANTXR1              4.60559

EGFLAM              0.408253

LGALS8              14.2179

LOC100130964        0

CPS1-IT1            0.0175688

CSNK1A1L            1.43172

GZMA                5.53829

MIR491              0

GPM6A               1.43407

C9orf3              10.6687

HIST1H2AL           7.48323

WBSCR27             0.205386

RBFOX1              0.309817

RNF43               10.9078

PTH                 0

MIR4480             0

KIF7                0.481938

RUFY3               11.9985

CCDC129             0.0538536

COL3A1              20.5433

SEMA3E              0.343059

DPRX                0

GPR56               10.3829

PIGX                9.3175

SNAR-A3             0

CSRNP3              0.363376

TECRL               0.3136

SCARNA20            0

KCTD6               4.48778

CSMD3               0.0361031

KRTAP10-2           0.0428905

CGA                 0

CCDC90B             27.54

OR51S1              0

FBXL3               24.8673

MOCS1               17.4788

HHLA1               0

SLIT2-IT1           0

MIR302C             0

SNORD98             0

ANKRD32             4.49019

SCN7A               0.959234

MIR548I4            0

SERPINA12           0.97964

OR6C76              0

CLYBL               3.38969

MIR567              0

FSHR                0

