Genes	AS1	D4CF1	ES1	FS1	AS1	D4CF2	ES2	FS2	AS3	D4CF3	DE3	ES3
ABCB1	8.02365	1.07408	1.2785	5.09761	23.0995	2.65885	1.08646	1.33409	31.8129	7.59075	2.04179	1.01389
ABCB10	12.7758	13.5056	7.84975	10.9878	6.59376	13.9907	13.2589	7.93256	15.5686	10.5893	15.921	9.66583
ABCB11	1.06419	1.02438	1	1.07127	1	1.02274	1	1	1.20735	1	1.01094	1
ABCB4	2.73368	1.05918	1.24134	1.32465	1.33186	2.37765	1.08615	1.40913	1.18319	1.08739	2.11623	1.13845
ABCB5	1.08618	1.0733	1.02674	1	1	1	1.19139	1.03967	1	1	1	1.01503
ABCB6	4.69136	12.3243	12.2218	7.25059	16.3903	5.91326	13.1711	11.178	13.7913	10.3821	4.00319	14.7668
ABCB7	37.5494	22.111	29.716	12.1971	10.8481	42.4547	23.4502	31.2412	17.0795	7.74012	47.6382	17.3483
ABCB8	1.81268	2.04282	2.16584	5.37458	13.9751	1.53097	2.02972	2.08856	4.80822	7.96747	1.37461	2.97271
ABCB9	1.41158	1.19898	1.52572	2.164	3.89196	1.37173	1.17417	1.32684	2.21126	4.57032	1.23911	1.41978
ABCC1	13.5882	8.18398	17.7621	7.27014	1.56639	14.3887	9.23236	18.6652	4.08856	10.2469	12.2374	13.2828
ABCC10	2.76372	2.86083	2.72849	6.44051	3.95123	2.50845	2.95757	2.56828	6.94028	7.95476	1.91221	4.7603
ABCC11	1.05512	1.02616	1.01282	1.03726	1	1.06103	1.05496	1.04248	1.09854	1.04953	1.02348	1.04416
ABCC12	1	1.06734	1	1	1	1.02094	1.03143	1	1	1	1	1.20205
ABCC13	1	1	1	2.66298	7.01564	1	1	1.09917	1.63763	1.40322	1	1
ABCC2	1.19032	1.21256	1.33351	4.54267	12.2262	1.16856	1.04465	1.31057	37.9547	2.70935	1.19079	1.11958
ABCC3	1.03548	1.04491	1.04404	40.6839	78.3662	1	1.01572	1.08506	21.7625	18.4589	1	1.07462
ABCC4	8.77478	41.4583	7.29404	6.76429	1.4259	8.57861	37.7483	6.8844	8.7825	6.89866	9.73784	32.9125
ABCC5	15.0089	14.2674	19.9681	15.1788	8.35672	15.4429	19.3492	20.4725	7.11822	8.66333	16.2053	14.588
ABCC5-AS1	1	1	1	1	1	1	1	1.22752	1	1.41388	1	1
ABCC6	1.11945	1.11339	1.08896	11.6847	9.24692	1.39195	1.31944	1.15413	29.5749	5.16008	1.32239	1.16023
ABCC6P1	1.25617	1.13265	1.04336	3.58497	3.86553	1.35064	1.1548	1	11.026	2.42547	1.25797	1.17413
ABCC6P2	1.23381	1	1.21766	2.6993	3.43744	1.41415	1.15541	1.24022	7.48651	3.99849	1.19922	1
ABCC8	1.0995	1	1.42841	3.10627	1.25458	1.03305	1.08267	1.48559	3.14627	1.60335	1.08478	1.11957
ABCC9	1.27611	1.32449	1.03364	4.77462	1	1.20974	1.367	1	1.52094	2.38809	1.33622	1.35098
ABCD1	1.20354	2.83556	1.26843	4.13046	21.8472	1.22534	2.71367	1.27883	7.97494	8.38094	1.14453	6.09095
ABCD2	1.0457	1	1.01064	2.1416	1.2338	1.05059	1	1.03521	1	1.26679	1.06814	1.0122
ABCD3	26.3528	26.5715	24.1593	21.7176	29.5409	25.0999	27.0543	26.0013	19.8954	21.7667	32.1048	18.2879
ABCD4	10.0978	21.7907	15.9127	13.3246	16.756	12.1464	22.6377	14.5805	27.0828	11.5795	8.04741	35.9132
ABCE1	57.7008	41.1565	57.8791	11.4969	8.53499	60.0899	39.6184	58.5486	14.738	17.6943	76.7358	24.9768
ABCF1	49.1553	41.0571	70.2806	25.7061	37.3098	50.4262	44.1726	64.9404	36.1275	20.4283	49.7787	43.4955
ABCF2	29.1933	20.5396	27.8687	8.84608	11.9456	28.0595	23.6235	28.6449	9.58414	13.4029	27.6296	23.2717
ABCF3	10.0458	7.49331	13.6432	17.4704	48.2791	11.075	8.54471	12.9422	22.724	11.2647	7.90536	10.874
ABCG1	3.03524	2.23757	2.66388	6.0462	56.3127	4.7485	2.09184	2.70943	3.96918	9.70041	7.68934	2.7088
ABCG2	7.01117	1.35571	2.00595	3.567	37.3845	5.68374	1.53646	2.18461	4.25794	6.28508	6.30771	1.20012
ABCG4	1.05167	1.75218	1.43296	1.8115	1.35287	1.07628	1.70987	1.35396	1.06324	1.52658	1.02935	2.83991
ABCG5	1	1	1.06463	1.12843	250.145	1	1.03076	1.04755	2.13908	11.4983	1	1.09887
ABCG8	1	1	1.0222	1.34741	73.3847	1	1	1.0245	5.01212	11.1757	1	1
ABHD1	1.0948	1.17963	1.08804	1.13118	1	1.12561	1	1.14585	1.34776	1.08545	1.04038	1.05061
ABHD10	32.3359	16.3047	18.0968	10.8511	8.47889	33.7192	14.6507	18.6947	14.0021	17.3593	44.0142	12.996
ABHD11	3.55158	5.68297	5.88232	15.7541	47.2187	4.7041	4.76892	6.38859	24.6004	50.1043	3.19349	9.52645
ABHD12	25.3738	17.212	21.2574	29.4465	66.3611	31.9512	17.7808	19.9849	39.3041	19.4999	24.0704	24.8119
ABHD12B	1.69151	1.26258	4.64793	1.09589	1.94921	1.28581	1.18385	4.74188	1	1	1.54994	1.64014
ABHD13	10.3245	14.0043	8.98392	6.99928	6.88978	9.94156	11.743	9.13735	7.03326	8.09298	12.2312	10.0254
ABHD14A	4.69148	2.1093	1.70326	11.1251	2.76591	5.83193	1.77671	1.4002	7.30309	10.4371	3.9314	2.80501
ABHD14A-ACY1	2.47017	1	1.09665	1.53276	4.77965	2.00273	1	1	6.16256	3.10548	1.00109	3.08072
ABHD14B	3.18428	1.86634	3.15448	31.0964	104.058	3.22313	1.95331	3.17699	45.6042	51.9483	3.13907	3.15867
ABHD15	1.70774	1.42433	1.57217	10.472	9.77766	1.67631	1.47043	1.89938	16.3745	12.4573	1.63479	1.67639
ABHD16A	12.4333	14.1395	8.36826	23.8766	18.8251	12.8038	13.8126	6.7978	26.3613	13.361	8.60849	22.575
ABHD16B	1	1	1.03475	4.15861	2.53498	1.09919	1	1.15343	4.51432	6.52553	1.03181	1.15951
ABHD17A	1.21591	1.08198	1.1608	2.1385	32.1042	1.19123	1.11481	1.17747	9.79881	22.3024	1.09922	1.46126
ABHD17B	24.4312	34.6897	32.5401	11.084	18.8358	21.9268	32.9063	34.4386	9.96347	10.7218	28.0899	26.5019
ABHD17C	15.5083	14.5401	24.7437	42.6346	34.5163	14.4041	14.7507	24.8837	37.0866	29.8844	17.5604	12.0194
ABHD2	8.67032	9.47647	10.7726	20.0349	12.8164	8.08588	8.89226	11.3192	20.0101	29.4352	8.65536	8.79623
ABHD3	10.9388	26.7587	8.2257	19.0328	42.4716	9.83051	26.5862	8.61811	19.4396	22.7319	12.1034	19.873
ABHD4	11.7443	25.3145	17.7811	15.2886	38.6081	10.2003	27.7051	16.7216	20.1384	15.4443	8.28935	28.3314
ABHD5	5.60465	11.0407	7.53608	8.18955	15.2284	5.01766	11.4245	7.38216	12.7628	6.60987	6.06955	7.61067
ABHD6	4.6193	6.29366	3.72044	5.38899	38.9599	4.11055	7.1658	3.42398	21.923	9.64513	4.26671	7.4146
ABHD8	1.3734	1.64986	1.55039	4.60436	4.19506	1.38583	1.16546	1.44759	3.1959	5.43197	1.13257	2.13007
ABI1	21.228	25.7158	22.2305	24.6244	37.5024	19.5073	29.0557	21.7351	25.8949	21.4472	24.2326	22.2683
ABI2	64.0085	39.6648	54.8286	15.8259	3.65908	67.9318	36.3144	57.7357	8.35828	7.62301	75.0834	37.1194
ABI3	1.32851	1.64948	1.37634	3.7992	16.8464	1.3305	1.33072	1.22364	4.908	5.72074	1.07946	1.76401
ABI3BP	1.17871	1.3654	1.08958	16.9781	1.28145	1.21916	1.18275	1.09887	27.8864	6.06456	1.12885	1.11747
ABL1	16.1399	12.3224	18.3179	34.4159	13.0449	15.8426	11.5377	18.0579	24.4166	40.9144	10.7334	18.3592
ABL2	8.29205	7.36291	6.92293	5.06991	3.00584	8.38503	7.6112	7.21847	4.46295	4.9936	9.21086	7.63143
ABLIM1	23.6744	14.3068	25.3539	25.2663	27.2318	27.5647	12.8702	27.9237	28.5607	34.228	31.2116	12.7335
ABLIM2	1.26075	1.46954	2.18791	3.86491	14.2271	1.05531	1.22096	2.08397	1.64923	4.17779	1.13987	1.24889
ABLIM3	1.24151	1.02697	1.23805	4.18404	7.39928	1.07549	1.03777	1.23354	2.09515	7.66402	1.01211	1.04552
ABO	1	1.2431	1.07947	21.7762	6.26964	1.18901	1	1.13156	25.6504	25.8312	1.21821	1.13677
ABR	11.2317	9.50928	9.56775	46.9934	69.0266	11.4732	9.15838	9.49122	45.2681	62.0612	9.29543	14.7068
ABRA	1.04603	1	1	1.03193	1	1.04077	1	1	1.06763	1.12429	1.07844	1
ABRACL	130.914	85.4774	221.235	37.0172	202.432	141.604	83.3973	228.261	61.3031	85.9705	170.908	64.3692
ABT1	14.3961	13.0675	11.189	9.91664	22.6469	12.9656	10.3211	11.3374	11.2226	27.5543	13.0704	10.9858
ABTB1	1.33784	1.25656	1.2516	9.10473	37.0958	1.43999	1.31439	1.20826	8.96219	15.9311	1.37423	1.80865
ABTB2	2.06158	2.68354	4.34847	1.77998	28.0978	1.39821	3.2414	4.1438	1.39423	5.30833	1.47888	3.00103
AC093375.1	2.03269	2.30062	3.34115	1.79179	1	1.9476	2.97317	3.46328	1.86772	1.06869	2.41355	2.34353
ACAA1	11.34	9.35883	10.9595	38.4736	245.003	9.55551	8.94683	9.72496	62.3496	25.7212	6.46953	12.7791
ACAA2	57.4134	72.039	78.7182	42.9733	260.972	55.7411	68.374	74.9939	44.8228	64.9452	59.9374	57.272
ACACA	29.2328	27.6915	41.006	9.60068	3.57536	32.4882	31.4983	42.8134	7.64231	11.89	36.9799	30.9575
ACACB	2.06408	1.51738	2.96307	5.06172	8.69479	1.93668	1.59516	2.73991	5.91795	16.5338	1.70766	2.00491
ACAD10	6.05468	5.36881	5.89769	8.72669	17.0879	6.9385	5.61491	5.47835	14.3099	11.2453	6.61112	6.95595
ACAD11	9.02931	11.3061	12.3521	6.6273	47.1466	10.8575	11.6455	12.5785	15.597	4.74462	11.2615	12.8759
ACAD8	9.81617	9.8155	30.3822	10.0098	23.9258	10.0576	11.3137	28.5063	11.6487	11.0635	9.93944	12.834
ACAD9	15.4047	9.50389	10.3315	11.7134	12.1701	17.3086	8.99543	9.34061	13.0833	12.5879	13.9911	10.147
ACADL	1.10269	1.92607	1.43018	1.1959	1	1.25011	2.0921	1.34289	3.07503	1.04624	1.13125	1.95975
ACADM	42.5819	106.508	47.7427	22.8226	95.0343	43.7666	94.4164	49.2503	19.69	10.1549	53.3748	65.2812
ACADS	1.71945	1.45531	1.54219	32.9584	286.094	1.45514	1.50098	1.2816	32.4623	65.7692	1.17515	2.42716
ACADSB	5.46005	16.2654	11.6944	7.70841	13.1396	4.46998	16.1492	11.878	7.32929	7.43006	5.733	12.0468
ACADVL	35.5961	38.1952	38.8316	80.7147	812.864	43.7065	39.3532	37.1771	99.8825	88.6128	31.8191	52.505
