Genes	AS1	D4CF1	ES1	FS1	AS1	D4CF2	ES2	FS2	AS3	D4CF3	DE3	ES3
C9orf50	1	1	1	1.10635	1	1	1	1	1.3354	1.07487	1	1
C9orf53	1	1	1	1	1	1	1	1	1	1	1	1
C9orf57	1	1	1	1	1	1	1.06034	1.04663	1	1.08205	1	1
C9orf62	1	1	1.03184	1	1	1	1	1.03514	1	1	1	1
C9orf64	1	1.04911	1.09631	6.84914	31.7782	1	1.03438	1.05315	11.206	27.0415	1.02204	1.05525
C9orf66	1.04546	1.51784	1.08464	1.04866	1.93215	1.10065	1.54388	1.07006	1.47974	1.20457	1.03873	1.24278
C9orf69	6.41719	6.22822	5.89598	14.2479	28.7701	5.49801	5.89105	6.19477	19.4046	47.411	4.76894	10.812
C9orf72	14.4669	17.2552	19.6389	14.7646	6.1997	15.9492	15.0008	19.596	14.8277	6.23218	19.4581	15.0884
C9orf78	32.2339	32.6867	41.9242	19.6606	66.7702	33.6547	29.2291	39.3297	22.6053	26.1977	36.5679	23.1768
C9orf84	1.013	1.22219	1.03558	1.0983	1	1.01151	1.05181	1.02671	1.06687	1.04673	1.03324	1.20833
C9orf85	12.0399	12.2323	11.2775	5.138	27.1339	12.462	9.9884	11.366	6.4061	7.31093	12.9725	7.8271
C9orf89	2.58836	2.26974	2.71214	12.3507	46.0511	2.62889	1.55567	3.40496	14.1407	15.7637	1.56986	3.32166
C9orf9	5.44412	2.08174	1.74258	2.97205	3.37467	4.73421	2.66635	1.35124	2.43285	2.8779	4.20419	2.46061
C9orf91	3.21912	4.56914	6.80284	3.92274	2.44701	2.45216	3.85612	6.98321	3.17921	5.21693	2.38504	4.39699
C9orf92	1	1	1	1	1	1	1.44527	1	1	1.70282	1	1
C9orf96	1.18643	1.08654	1.04253	1.40091	4.73663	1.09907	1.09914	1.05746	1.44433	1.26846	1.06358	1.09738
CA1	1	1	1	1.11154	1	1	1.07865	1	1.05939	1.7324	1	1
CA10	2.48267	1.16319	1.20005	1.59629	1	2.82701	1.28567	1.1987	1.01578	1.11602	2.28173	1.1031
CA11	20.3595	29.6819	35.1221	4.89847	9.23722	23.5986	24.7979	33.0826	2.37049	4.93258	20.1533	33.7053
CA12	4.18707	1.20863	4.7288	38.4006	1.64306	3.01623	1.50089	4.03341	13.8209	3.03217	2.81935	1.46954
CA13	1.96444	2.31228	1.79309	4.24558	22.7289	2.06773	2.13254	1.95788	9.61611	9.06294	2.10942	1.87564
CA14	72.21	29.852	34.9814	1.58254	1	99.7461	32.5214	32.5017	1.02808	1.34465	88.1927	30.3239
CA2	12.7212	34.2282	6.86691	7.51369	142.185	13.7631	38.4075	7.10388	1.97441	13.7586	13.6895	30.5847
CA3	2.51742	1.79226	2.5892	6.23534	7.23979	2.91512	1.40345	2.75394	5.63149	2.36962	3.2627	1.24312
CA4	1.98839	1	1.80512	5.92387	1	2.47723	1	1.76164	6.18863	3.01622	1.31582	1
CA5A	1	1	1	1.04622	1	1	1	1	1	1	1	1
CA5B	2.50039	7.86349	2.91236	2.06917	1.61809	2.33778	6.63577	3.40029	1.65038	2.30044	2.56161	7.59341
CA5BP1	2.85714	2.97453	3.4896	6.30165	5.61155	2.57903	2.58007	3.44237	6.31398	7.21061	2.13936	4.8087
CA6	1	1	1	1	1	1	1	1	1	1	1	1
CA7	1	1	1.44665	23.8958	91.496	1	1.11575	1.40257	26.6821	6.43745	1	1
CA8	4.19747	5.99623	5.29375	7.59498	1	5.56115	5.58923	4.95387	15.079	3.09054	4.47195	4.53626
CA9	1.3043	1	1.24281	1.48229	2.78932	1.19251	1.11558	1.13399	1	47.7403	1.03704	1.04643
CAAP1	23.2743	35.6085	32.5745	13.7535	9.75667	25.3861	29.6252	32.7764	15.5637	19.4472	31.9879	24.7917
CAB39	32.621	39.3639	37.9961	42.8337	52.6539	33.0558	39.2375	39.3785	46.286	37.9985	38.0994	32.1898
CAB39L	8.5583	7.10167	4.90417	4.85021	2.14091	7.95339	5.32897	4.86546	2.93896	5.39306	9.02727	5.51218
CABIN1	9.93766	7.39823	9.92613	14.9283	10.7879	10.3745	7.23649	9.77153	12.2033	15.006	7.13452	12.6615
CABLES1	6.76314	3.63262	6.63444	4.38072	8.68965	7.89543	3.81406	6.09027	5.4324	8.15435	8.67995	4.1628
CABLES2	6.0312	4.88933	6.11093	5.04812	2.00704	4.4545	4.70369	5.98404	4.88695	5.21365	4.49106	6.54911
CABP1	1.89229	1	4.83315	1.76099	1	1.30395	1.09124	4.66713	1.37588	2.13035	1.29243	1.21994
CABP2	1	1	1	1.054	1	1	1	1	1	1	1	1
CABP4	1	1.0292	1.01432	1.09604	1.31495	1.01362	1.02044	1.0158	1.03388	1.33176	1	1.01643
CABP5	1	1	1	1	1	1	1	1.03713	1	1	1	1
CABP7	1.06746	1.04203	1.01991	2.13269	1	1.01917	1.05818	1.02239	3.39723	3.12721	1.05735	1
CABS1	1	3.74395	1.48925	1	1	1	3.27063	1.35998	1	1.07915	1	2.49696
CABYR	2.51345	6.30711	17.8283	2.80871	3.46186	2.87639	9.02448	17.573	1.87724	1.53724	3.33061	7.42846
CACFD1	4.41417	2.10272	2.19935	16.4741	32.7681	3.4654	1.91753	2.15818	17.2398	30.1942	2.35273	4.22904
CACHD1	25.5974	46.0522	24.9763	7.60271	1.2369	27.9523	55.1504	24.1435	6.63328	3.24572	30.9838	40.0704
CACNA1A	1.23688	1.14543	3.14071	2.44582	1.42737	1.43196	1.10183	3.07608	2.25249	1.48766	1.44532	1.20831
CACNA1B	1.22478	1.79426	2.38923	3.35103	1	1.06507	2.12058	2.32795	1.09433	1.58268	1.04256	2.35389
CACNA1C	1.14622	1.10094	1.24808	4.50479	1.54346	1.04742	1.17181	1.30242	1.61225	1.77822	1.04529	1.19663
CACNA1C-AS1	1	1	1.28405	1.22758	1	1.07697	1.03851	1.20833	1.04713	1.24627	1	1.18464
CACNA1C-AS2	2.01431	1.27511	4.48918	1.13101	4.03637	2.40026	1.91939	4.55782	1	1.80065	1.3704	1.83623
CACNA1C-AS4	1	1	1	1	1	1	1	1	1	1	1	1
CACNA1C-IT2	1	1	1	1	1	1	1	1	1.11337	1	1	1
CACNA1C-IT3	1	1	1	1	1	1	1	1	1	1	1	1
CACNA1D	1.07149	1.13574	1.27364	18.547	1.32497	1.08443	1.16897	1.43261	26.2273	3.35317	1.04738	1.16122
CACNA1E	1.15772	1.03031	1.19328	2.95087	1	1.08132	1.06368	1.17229	1.05564	1.07161	1.10546	1.00852
CACNA1F	1.04139	1.01964	1.20604	1.3913	1	1.01833	1	1.20201	1.53928	1.22303	1.01763	1.15475
CACNA1G	1.22133	1.13507	1.28699	3.16423	1	1.09101	1.11559	1.42885	1.56731	1.04256	1.06061	1.49002
CACNA1G-AS1	1.04775	1	1	1.06622	1.98349	1	1.12696	1.09812	1	1	1	1
CACNA1H	1.64159	2.03075	2.04811	7.20927	1.15254	1.68718	1.99818	2.12423	2.75367	5.35113	1.38775	3.73086
CACNA1I	1.06054	1.09195	1.35509	1.03361	1	1.17695	1.13682	1.40434	1.0533	1.11951	1.12381	1.23928
CACNA1S	1	1	1.00916	1.06829	1	1.02615	1	1	1.04333	1	1.01677	1
CACNA2D1	5.68778	11.1936	11.5703	7.65164	1	5.84144	12.4718	11.9994	2.26253	1.58328	5.00821	9.76699
CACNA2D2	2.49584	6.33642	10.1102	5.3075	1.91384	2.30511	5.98638	9.3083	3.42399	1.50131	1.85533	10.1901
CACNA2D3	1.30434	1.2247	2.77862	1.35194	1	1.07487	1.42706	1.97281	1.08691	1.06081	1.11525	1.1806
CACNA2D3-AS1	1	1	1	1	1	1	1	1	1	1	1	1
CACNA2D4	1.03426	1.04336	1.04252	1.94304	3.80449	1	1.03036	1.02347	2.11487	2.57957	1.01946	1.15857
CACNB1	2.58809	1.62988	3.23956	5.59457	1	1.74925	2.2564	3.52889	2.12814	4.09737	1.61237	3.26107
CACNB2	1.74226	2.18531	3.07779	6.36052	1.31964	1.68423	2.16801	2.89883	6.7897	2.43078	1.73147	1.92226
CACNB3	7.70487	7.81115	5.60646	11.8498	7.59769	7.31076	7.87415	6.33821	3.96784	7.96212	5.36389	13.5793
CACNB4	2.08983	1.17309	2.08926	1.72771	1.15817	1.96584	1.20839	2.20026	1.3235	1.13883	2.06767	1.25609
CACNG1	1.05268	1	1	1	1	1	1	1	1.27151	1.09536	1	1
CACNG2	1.13588	1	1	1.18857	1.27819	1	1	1	1	1.12209	1.03473	1
CACNG3	1.04697	1	1.15304	1	1	1	1.03122	1.07238	1	1	1.02001	1
CACNG4	6.02091	1.41446	2.52418	6.32644	1.37274	2.6112	1.21765	2.45789	1.34736	1.68711	2.84461	1.44692
CACNG5	1.56897	1	1.52968	1.5068	1	1.21597	1.10806	1.41756	1	1	1	1
CACNG6	1.64358	1.35038	1.51416	1	1.84246	1.63164	1.16332	1.37868	1.13628	1.2219	1.78326	1.34382
CACNG7	8.83946	1.41633	10.7988	2.7493	1	5.36986	1.29152	10.0684	1.38274	2.03709	4.83043	1.79052
CACNG8	2.42133	2.99456	5.8836	1.13768	1	1.60205	2.8895	6.38277	1.02015	1.13556	1.74889	3.58899
CACTIN	3.13577	2.7368	2.83456	7.96576	10.4913	3.4971	2.09289	3.53327	6.99411	13.6533	2.43582	3.98482
CACTIN-AS1	1	1.09585	1	1.26074	1	1.09729	1.06841	1.14623	1.60841	1.61619	1	1.28739
CACUL1	16.8838	15.2005	13.5383	11.7863	7.24501	18.3841	14.1421	14.1184	12.7888	12.3499	21.7797	12.768
CACYBP	38.6446	51.0629	47.3457	12.6594	13.636	41.1186	46.3081	46.3925	15.8596	25.9662	51.6492	34.292
CAD	16.7937	11.7161	30.1369	11.0758	3.95582	20.7475	12.3681	27.2794	11.7671	7.91338	14.0158	20.7573
CADM1	56.6791	34.2438	11.0066	18.6082	3.05006	53.8444	36.8397	11.2356	4.98768	5.77678	77.4433	27.3396
CADM2	1.24125	6.43366	3.51424	1.80636	1	1.21368	6.08768	3.68548	1.44308	1.48786	1.32549	5.45178
CADM2-AS2	1	1	1	1	1	1	1	1	1	1	1	1
CADM3	3.36511	1.631	6.65744	16.1034	1.00003	2.61064	1.66987	6.47007	1.44959	21.8058	2.23677	1.95458
CADM3-AS1	1.03364	1	1.11518	1.2304	1.38917	1	1	1.06972	1	2.89971	1	1.03827
CADM4	13.6777	5.40713	9.86545	9.69046	1.611	10.5678	5.15404	9.4085	3.99677	4.37937	6.42659	9.04231
CADPS	4.18502	4.4767	3.1543	6.44454	1	3.36643	4.57508	2.88612	2.97315	5.03612	2.44421	3.5888
CADPS2	2.86501	3.50975	8.76736	6.78932	5.61273	2.84239	3.47933	9.04458	6.19213	5.76656	2.81617	2.94832
CAGE1	1	1.21047	1.02064	1.05674	1	1.03622	1.26526	1	1.03257	1	1.03484	1.08737
CAHM	2.03259	1.32675	1.64085	1.41724	2.78432	1.68591	1.22879	1.61887	1.25406	1.47022	1.58657	1.55148
CALB1	2.48796	108.734	16.1668	3.69426	1	1.17869	133.23	17.7649	1.44474	1.18168	2.33234	67.7533
CALB2	1.718	1.28519	1.98035	1.35356	1	1.26608	1.30812	1.90496	1	3.35551	1.55299	1.46015
CALCA	1.08242	1.15649	2.51521	2.64872	1	1.365	1.90385	2.41823	1	1.1881	1.43886	1.21992
CALCB	2.1354	1.53891	5.69037	3.99958	1	2.00559	1.09434	6.10365	1	3.96453	1.60466	1.0758
CALCOCO1	5.6049	9.23377	7.11315	28.077	36.5563	5.24304	10.2076	6.66478	27.6954	18.4766	4.92376	11.3006
CALCOCO2	14.7521	11.5472	13.6241	32.4937	55.1137	12.6354	11.2289	14.397	41.53	39.1974	15.0328	9.84954
CALCR	1.24356	18.5214	1.74506	1.04827	1	1.06162	21.123	1.60779	1.24276	1	1.11858	13.641
CALCRL	1.86275	1	1.64338	7.00166	1.20752	1.6376	1.01348	2.06389	7.11456	7.8118	1.61343	1.01083
CALD1	88.8581	112.23	122.556	118.681	23.5287	73.0267	124.285	127.548	30.2919	42.7526	96.1717	83.4845
CALHM1	1	1	1.24903	1	1	1.03645	1	1.19028	1.03023	1.11108	1.01753	1.02198
CALHM2	1.36021	1.27354	1.90547	5.47361	6.18319	1.38284	1.43098	1.88829	3.36461	21.7324	1.18413	1.88501
CALHM3	1	1	1.03773	1.11242	1.83368	1	1	1	1.05963	1	1.03453	1
CALM1	98.5308	170.992	113.099	146.592	455.629	82.9296	170.416	109.54	110.132	227.138	114.97	130.873
CALM2	620.784	679.266	486.976	303.57	793.286	601.905	658.811	471.893	314.384	497.978	709.411	428.949
CALM3	180.514	332.39	135.31	150.085	235.479	183.868	337.517	130.484	218.97	338.905	144.18	477.501
CALML3	1	1	1	1	3.0564	1	1	1	1.11021	1.27086	1	1
CALML3-AS1	1	1	1	1.06	1	1	1	1	1.0254	1.09331	1.02947	1
CALML4	7.91686	6.25843	11.0345	23.4809	45.2343	8.29763	6.29678	11.0233	31.4805	27.0493	8.33929	5.2828
CALML5	1	1	1	1	1	1	1	1	1	1	1	1
CALML6	1.13085	1.37264	1.85269	1.45342	1	1	1.17395	1.53776	2.30185	1.11871	1	1.4193
CALN1	1.36128	4.29793	4.31678	1.03078	1	1.34242	4.32053	4.35446	1.0093	1.0341	1.29161	4.35871
CALR	669.927	742.894	450.773	260.498	151.468	748.044	767.685	423.076	410.465	444.824	596.147	810.072
CALR3	1.05394	1.51204	1.40171	1.03739	1	1.04777	1.14341	1.22168	1	1	1.04596	1.17284
CALU	133.717	129.15	100.225	36.3021	6.12868	146.419	136.742	103.172	23.4441	23.9818	162.384	105.847
CALY	1	1	1	5.43682	1	1	1	1	1.50005	2.36947	1	1
CAMK1	7.99648	5.34368	3.53609	10.8344	18.8235	6.14799	3.52484	3.57965	13.0639	6.93053	6.88237	6.43937
CAMK1D	4.96538	5.8866	6.67346	7.88571	1.79498	4.25137	7.31849	5.67824	4.28249	3.85736	4.80289	7.38345
CAMK1G	2.78701	1.14751	1.40987	1.52101	1	2.23864	1.03443	1.2927	1.07612	1.41983	1.63997	1.22131
CAMK2A	1.06285	1.0716	1.05851	1.90747	1	1.245	1.03341	1.06458	1.20166	1.2711	1.07498	1.05371
CAMK2B	1.07864	1	1	2.98628	1.64429	1.04179	1.0209	1	1.40079	2.15939	1.0402	1
CAMK2D	19.6566	29.8051	4.64238	23.7332	18.4565	20.2494	31.0418	5.90298	30.3997	12.952	19.9722	25.1853
CAMK2G	9.27495	9.97824	16.4662	17.83	47.2511	10.7439	10.5983	14.2945	15.1878	23.5145	9.0414	11.4612
CAMK2N1	9.5009	3.17964	7.05624	83.5372	127.776	4.63138	3.36195	6.64491	127.593	29.9569	5.28554	2.8102
CAMK2N2	1.7615	1.48192	3.93015	3.07655	1	1.31474	1.20247	3.45149	1.11212	1.82676	1.3028	1.48803
CAMK4	3.04552	1.82048	5.0499	9.67314	2.18281	2.81167	2.0341	5.5585	2.50341	2.19416	2.89025	1.80011
CAMKK1	1.55111	1.6012	2.46188	7.10728	4.64795	1.55193	1.59174	2.35357	6.55804	4.31506	1.51582	2.12242
CAMKK2	14.05	75.8563	13.4283	15.3845	29.4828	14.2319	73.2182	14.5883	22.9492	26.9652	15.6051	86.1822
CAMKMT	6.9077	20.9584	14.4258	4.13258	2.78799	10.0027	14.6861	14.4339	5.34674	3.43339	9.58719	17.1469
CAMKV	5.71736	1.51292	19.1467	3.45102	1	4.88356	1.33152	17.1631	11.2884	1.0374	5.69248	1.59933
CAMLG	42.5239	15.5974	28.0486	16.9795	65.4311	43.8977	16.3507	29.8169	15.2436	31.462	43.0804	15.9486
CAMP	1	1	1	1.1502	1	1	1	1	1	1.19842	1	1
CAMSAP1	14.8913	12.8068	12.0635	8.32091	2.4545	12.7504	14.3618	11.7328	4.27042	5.38319	12.0623	14.4116
CAMSAP2	20.0503	18.6947	17.4352	12.4029	4.52699	18.9852	21.2166	18.312	6.09191	5.3193	23.0329	15.358
CAMSAP3	2.06839	2.45704	2.68102	18.7601	48.4521	1.69302	2.18025	2.62337	30.2161	19.3123	1.34619	4.00569
CAMTA1	62.0955	66.3245	75.907	21.8658	114.035	58.7539	51.3581	70.3553	23.9716	40.9158	83.2531	48.9542
CAMTA2	2.13422	1.63821	1.74322	12.03	22.3361	2.19061	1.67038	1.77755	11.3019	16.5052	1.60295	2.90272
CAND1	86.3547	76.03	78.7647	35.2501	17.8413	89.2721	77.2254	84.5741	36.6583	21.4552	113.093	59.5976
CAND1.11	1.28803	1	1.26814	1	1	1.31888	1.09573	1.22195	1	1	1.18407	1.07691
CAND2	2.77415	2.3248	3.39477	3.68218	1.29767	2.46758	2.27507	3.01673	1.69404	2.5674	2.00304	3.17333
CANT1	15.428	11.7096	8.6274	27.7311	11.7371	16.1045	12.2423	7.64631	27.0254	63.4637	13.5061	14.8589
CANX	319.004	335.669	234.109	139.944	109.781	285.651	357.288	244.268	247.297	181.552	319.693	240.815
CAP1	97.2999	145.569	116.67	53.1144	165.645	93.7071	151.254	111.688	58.1094	115.508	111.107	119.908
CAP2	18.5664	35.3777	11.7022	7.25952	1.85228	18.3625	39.0827	11.2524	1.85512	2.98265	20.5737	28.2681
CAPG	3.04219	9.57082	10.956	48.8002	73.0226	3.2371	6.64405	11.8776	16.0774	15.1075	2.1906	17.0731
CAPN1	15.5441	17.0993	17.2528	41.1272	149.086	16.5817	16.072	15.2872	48.3194	105.088	7.14943	41.5542
CAPN10	2.36713	2.74797	2.68741	7.24774	13.3328	2.02614	1.67121	2.46484	7.53837	8.59932	1.9871	4.23765
CAPN10-AS1	1.61077	2.29213	1.99097	2.50138	1.35751	1.66459	2.20633	2.14748	2.14053	1.59626	1.93677	2.15567
CAPN11	1	1	1.45456	1	1	1.08237	1.09273	1.40612	1	1.08372	1.05944	1.14901
CAPN12	1.21417	3.32013	1.73114	2.51883	1.46515	1.20943	4.07293	1.8614	10.6708	5.1637	1.16898	7.51574
CAPN13	1.45016	3.69894	3.55853	4.89542	48.1336	1.44066	3.86619	3.89677	4.44655	14.6928	1.28263	4.51768
CAPN14	1.0811	1	1.0302	1.10129	1	1.0431	1.04313	1.05	1.02382	1	1.06911	1.03465
CAPN15	1.58169	1.53993	2.04694	14.6881	36.7227	1.50374	1.5499	1.95625	16.7051	37.3734	1.37449	2.00794
CAPN2	56.6576	43.7561	21.8578	63.5281	52.8351	53.537	46.149	22.799	33.3774	40.5733	52.6551	39.3844
CAPN3	1.21955	1.31225	1.20396	21.4462	12.3048	1.29142	1.58349	1.3377	113.39	4.86238	1.13998	1.35112
CAPN5	4.00022	3.715	6.63824	28.2974	46.3531	4.06698	3.25515	6.5889	28.0187	34.9142	3.61617	4.63895
CAPN6	2.073	3.23435	14.0663	10.8466	1	1.96566	2.84057	13.8026	2.57592	1.34235	2.06176	3.23679
CAPN7	14.5159	19.4632	9.05595	17.772	12.5426	15.6046	20.242	9.38421	20.1631	7.61107	17.8848	13.781
CAPN8	1.03094	1.05874	1	10.2484	6.71757	1	1	1	4.70679	3.56559	1.02636	1.03304
CAPN9	1.21755	1.05163	1.02531	10.9098	6.44694	1.16438	1.03615	1.07934	13.9963	2.20536	1.1622	1.08714
CAPNS1	104.243	183.341	97.9726	133.605	492.099	103.972	193.126	90.6548	149.787	148.341	92.6977	229.251
CAPNS2	1	1.27682	1.06787	1.05051	1	1	1.09691	1	1	1	1	1
CAPRIN1	185.653	136.147	143.767	51.7073	27.8385	191.836	139.478	148.627	56.0277	49.7864	226.739	108.609
CAPRIN2	10.9771	23.4899	33.9409	7.9961	4.45323	9.55489	28.8789	33.2724	6.07886	3.41372	11.603	22.9553
CAPS	1.13297	1.08415	1.12383	11.5403	34.5158	1.03926	1.05892	1.2278	8.09885	8.92289	1	1.89955
CAPS2	2.25122	1.79301	3.21566	1.50571	1	1.74367	1.67632	2.83026	1.16544	1.38237	1.94961	2.11982
CAPSL	1	1.14525	1	1.53	1	1	1	1	1.33861	1	1.06518	1
CAPZA1	94.8843	97.4393	70.3259	39.0163	90.6924	94.5015	92.1531	74.54	51.0174	75.6965	121.558	72.3864
CAPZA2	65.4131	72.088	62.7672	42.8822	106.214	73.2414	69.156	63.7903	49.8197	69.4401	87.023	52.5874
CAPZA3	1	1	1.06251	1	1	1	1	1.06899	1.14847	1	1	1
CAPZB	121.875	153.621	212.785	81.6848	230.805	123.996	156.672	209.396	82.2454	134.156	116.052	161.097
CARD10	1.58766	1.48247	1.78365	13.9931	88.8295	1.50641	1.54897	2.20757	15.7643	30.4395	1.203	2.4081
CARD11	1.20826	2.42341	7.60462	5.99036	2.42127	1.41808	2.99334	7.20513	3.1507	2.22261	1.10647	4.51467
CARD14	1.21524	1.11231	1.24452	1.98179	3.45907	1.0393	1.16347	1.23798	2.48709	3.50226	1.0252	1.27832
CARD16	1	1	1	3.32038	37.4292	1	1	1	8.53144	36.0535	1	1
CARD17	1	1	1	1	1	1	1	1	1	1	1	1
CARD18	1	1	1	1	1	1	1	1	1	1	1	1
CARD6	1.01507	1.28621	1.42101	1.62761	3.77835	1.05341	1.12024	1.41819	1.81906	10.674	1.03854	1.20933
CARD8	16.6681	12.7774	13.6819	10.091	6.69626	21.8632	12.107	13.3957	12.1886	8.71661	17.0172	14.2212
CARD9	1.0729	1	1	2.06202	3.51186	1	1	1	2.12399	2.32314	1	1.03893
CARF	3.57767	3.85329	3.03598	4.7896	1.25009	3.55256	3.54395	3.76313	4.66442	1.83549	3.97913	3.72547
CARHSP1	37.9281	46.8158	57.163	23.3474	17.8228	35.505	43.8143	53.1715	27.77	23.2324	27.0592	57.6151
CARKD	12.2806	12.2548	11.6142	23.3757	44.9685	12.48	13.3822	11.5049	19.3047	33.6869	10.3241	16.8679
CARM1	24.2495	16.6006	33.7919	18.603	25.3752	29.8846	16.4961	33.3735	20.2149	28.1291	18.2596	35.1097
CARNS1	1.04707	1.11921	1.16075	1.83878	1.32152	1.04169	1.16695	1.25807	1.23053	1.53625	1.02673	1.3186
CARS	30.6126	28.2608	60.0253	10.6217	37.3417	25.908	29.2606	59.0067	15.3422	22.7364	24.8009	33.538
CARS2	14.1318	12.0211	13.5545	18.6258	43.191	12.9441	13.5166	13.9103	39.8855	20.2238	13.607	12.7582
CARTPT	1	1	1	7.63289	1	1.0731	1	1.0848	1.24363	1.90148	1	1
CASC1	1.417	1.53186	1.02588	1.32783	1	1.24889	1.33262	1.05713	1.05314	1.05009	1.33163	1.29695
CASC10	3.07128	7.55419	3.57098	3.14351	1.67538	3.0092	7.81828	3.63481	2.61949	2.18589	2.65285	7.00516
CASC11	1	1.33359	1.32714	1.06085	1	1.15562	1.58395	1.36105	1	1	1.07486	2.03223
CASC14	1.05613	1.74601	1.91447	1.58405	1	1	1.29849	1.98043	1.12376	1.05057	1.14349	1.35974
CASC15	4.09975	15.0847	5.79865	2.83581	1	4.57824	12.9919	6.18872	1.38414	1.37702	3.87867	15.0624
CASC16	1	1	1.06855	1.51021	2.52351	1	1	1	1.59729	1.93668	1	1.1573
CASC17	1	1	1	1	1	1	1	1.0649	1	1	1	1
CASC18	1.02683	1.66231	1.04996	1.03722	1	1.04753	1.49942	1	1.03943	1	1.02286	1.45858
CASC2	2.33534	1.57364	1.34528	1.7037	1	2.00635	1.56446	1.5405	1.63319	1.54075	2.24487	1.53108
CASC20	1	1	1.0402	1	1	1.03825	1.05741	1	1	1	1	1
CASC21	1.30806	1	1.43017	1.21304	1	1.27284	1.20476	1.31651	1	1	1.13125	1
CASC3	44.203	36.3937	58.2993	29.5441	24.2729	41.9046	36.6728	59.4011	24.2563	31.4573	45.2079	33.273
CASC4	29.4241	25.2106	24.2838	28.8806	15.3063	26.5617	22.1915	24.6488	28.5373	31.5727	27.647	18.7418
CASC5	11.0599	17.7366	11.9518	4.59254	1.32426	10.7593	16.281	13.0219	3.99597	2.93542	14.942	13.7946
CASC6	1	1	1	1	1	1	1	1	1	1	1	1
CASC8	1.25948	1.08211	1.2013	1.05998	1	1.11491	1.11498	1	1	1.24417	1.2948	1.04619
CASC9	13.579	4.50931	7.30185	1.14237	3.1163	12.5959	4.13976	8.06885	1.41579	1.09291	12.8553	6.21005
CASD1	29.6486	45.6293	21.2925	16.989	3.28949	31.1114	41.9086	22.6412	10.3923	5.93814	39.2222	34.62
CASK	35.6387	27.3843	20.3991	13.6504	11.3256	42.7616	27.2649	21.9022	19.5111	14.1867	48.1321	24.5814
CASKIN1	1.10774	1.04665	1.1205	2.04655	1	1.12192	1	1.10841	1.05943	1.21894	1.01069	1.13269
CASKIN2	1.9585	1.63117	2.35688	7.18988	8.53773	1.83689	1.56054	2.4482	7.2331	11.922	1.66057	2.48853
CASP1	1	1	1	7.04565	101.343	1	1	1	24.955	130.368	1	1
CASP10	1.11881	3.19842	3.93572	2.95839	11.1273	1.15784	2.34386	3.41712	6.66698	16.8027	1.07176	3.32187
CASP12	1	1	1	1.28576	1	1	1	1	1.16038	1.18649	1	1
CASP14	1	1	1	1	1	1	1	1	1	1	1	1
CASP2	16.8589	14.3758	17.4005	14.5688	6.68855	16.5364	16.9254	17.0888	14.452	10.7081	16.672	15.2411
CASP3	39.5199	64.7928	64.4621	22.4982	67.9318	36.9675	69.7986	65.4613	29.314	36.4463	43.9676	48.2995
CASP4	1.10523	1	1.14696	11.2167	109.497	1	1	1.10812	38.0088	26.5333	1	1
CASP5	1	1	1	2.3956	7.8615	1	1	1	6.47721	8.88759	1	1
CASP6	33.8676	10.8651	22.1484	29.8404	60.8558	35.0686	12.62	21.4439	43.5475	37.573	37.4148	8.74427
CASP7	11.6071	7.19245	4.5237	17.7901	99.9522	12.8295	7.14633	4.52625	18.8962	49.7609	14.3527	6.81156
CASP8	2.24763	3.41983	4.86217	10.9979	10.3422	2.33642	3.19544	5.42572	16.5197	16.0641	1.76543	3.77639
CASP8AP2	17.8848	21.4805	16.0719	7.6985	2.87968	19.5693	21.4601	17.8382	6.6001	4.56373	22.2533	17.6066
CASP9	3.78161	5.31764	8.56592	6.99787	15.1302	4.33513	4.39586	7.45561	7.60503	9.02134	3.94472	5.68083
CASQ1	1.10038	1.2541	1.46722	1.46412	1	1.0889	1.26688	1.48127	2.35298	1.54314	1.17106	1.39312
CASQ2	1.04702	1.04464	1	1.19574	4.85759	1.06247	1	1.02416	1.95007	2.18526	1.08014	1.05023
CASR	1	1	1.18555	2.14061	1	1	1	1.14078	1.88704	1.15667	1	1
CASS4	1.06312	1.03995	1.01836	1.27595	1.43135	1.03727	1	1.05703	1.55115	1.30293	1.03586	1.04495
CAST	28.5215	23.8269	32.612	71.2686	81.2293	34.2746	22.9655	32.7385	91.4171	28.4709	35.3994	23.3643
CASZ1	1.63224	1.31609	1.4082	8.59567	11.8356	1.72771	1.2601	1.32093	5.50975	12.3645	1.3676	1.67795
CAT	6.65584	1	1.02607	51.9634	86.0518	2.95906	1	1	55.9419	44.2364	7.46544	1.02991
CATIP	1.05245	1.09957	1	1	1	1.1858	1	1	1	1	1.06458	1.05602
CATIP-AS1	1	1.32483	1.15928	1.35483	1	1	1	1	1.12709	1.95009	1.08089	1
CATSPER1	1.0486	1	1.02262	1	1	1	1.03231	1	1	1	1.02071	1.05191
CATSPER2	1.30265	1	1.41173	2.43278	11.1286	1.06353	1.08974	1.44225	4.50277	1.88794	1.18337	1.14332
CATSPER2P1	1.20505	1.23359	1.07636	1.14219	1	1.07264	1.05452	1.08427	1.06034	1.44445	1.13978	1.04381
CATSPER3	1.60553	1.38322	1.61069	2.22444	5.15918	1.35754	1.87207	1.51845	1.55721	1.54783	1.25798	1.80849
CATSPER4	1.0483	1	1.22483	1.03349	1	1	1.06421	1.24813	1	1	1.04116	1.05159
CATSPERB	1	1.19651	1.19271	1.25135	1.70679	1.03056	1.38986	1.26586	1.36737	1.27919	1.0588	1.22111
